,종목명,2015_E,2015_S,2015_G,2016_E,2016_S,2016_G,Diff_E,Diff_S,Diff_G,업종명,2015_종가,2016_종가,등락률,연도
261,송원산업,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,화학,11000,17550,0.5954545454545455,"15,16년"
262,수산중공업,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기계,2070,2045,-0.012077294685990338,"15,16년"
263,신대양제지,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,종이목재,27200,23650,-0.13051470588235295,"15,16년"
264,신도리코,3.0,1.5,3.0,2.0,1.5,3.0,-1.0,0.0,0.0,전기전자,60900,52500,-0.13793103448275862,"15,16년"
265,신라교역,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,"농업, 임업 및 어업",17350,14050,-0.19020172910662825,"15,16년"
266,신성이엔지,,1.5,1.5,2.0,1.5,1.5,,0.0,0.0,전기전자,1580,4170,1.639240506329114,"15,16년"
267,신성통상,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,유통업,1915,1220,-0.3629242819843342,"15,16년"
268,신세계,1.0,4.0,3.0,1.0,5.0,3.0,0.0,1.0,0.0,유통업,232500,186000,-0.2,"15,16년"
269,신세계건설,2.0,3.0,1.5,2.0,3.0,3.0,0.0,0.0,1.5,건설업,49500,40200,-0.18787878787878787,"15,16년"
270,신세계인터내셔날,3.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,0.0,유통업,111000,78300,-0.2945945945945946,"15,16년"
271,신세계푸드,2.0,3.0,1.5,1.0,3.0,1.5,-1.0,0.0,0.0,서비스업,172000,144500,-0.15988372093023256,"15,16년"
272,신송홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,9140,6550,-0.2833698030634573,"15,16년"
273,신영와코루,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,163000,154500,-0.05214723926380368,"15,16년"
274,신영증권,3.0,1.5,1.5,4.0,1.5,1.5,1.0,0.0,0.0,증권,55200,49700,-0.09963768115942029,"15,16년"
275,신원,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,섬유의복,1890,1640,-0.13227513227513227,"15,16년"
276,신풍제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,4155,6090,0.4657039711191336,"15,16년"
277,신한지주,5.0,5.0,4.0,5.0,5.0,5.0,0.0,0.0,1.0,기타금융,43550,43850,0.006888633754305396,"15,16년"
278,신흥,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,유통업,10900,9970,-0.0853211009174312,"15,16년"
279,쌍방울,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,섬유의복,3265,1965,-0.3981623277182236,"15,16년"
280,써니전자,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,2250,4770,1.12,"15,16년"
281,씨아이테크,,1.5,1.5,1.0,1.5,1.5,,0.0,0.0,기타제조업,1185,1015,-0.14345991561181434,"15,16년"
282,아남전자,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,전기전자,1410,1160,-0.1773049645390071,"15,16년"
283,아모레퍼시픽,2.0,4.0,3.0,3.0,4.0,4.0,1.0,0.0,1.0,화학,377500,359000,-0.04900662251655629,"15,16년"
284,아세아,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,117000,100500,-0.14102564102564102,"15,16년"
285,아세아시멘트,1.0,3.0,3.0,2.0,1.5,3.0,1.0,-1.5,0.0,비금속광물,108000,73600,-0.31851851851851853,"15,16년"
286,아세아제지,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,종이목재,19500,19500,0.0,"15,16년"
287,아시아나항공,1.0,3.0,4.0,2.0,5.0,3.0,1.0,2.0,-1.0,운수창고업,4845,4620,-0.04643962848297214,"15,16년"
288,아이마켓코리아,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,유통업,29700,12800,-0.569023569023569,"15,16년"
289,아이에스동서,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,비금속광물,42700,49500,0.1592505854800937,"15,16년"
290,알루코,,1.5,1.5,,1.5,1.5,,0.0,0.0,철강금속,6430,4320,-0.328149300155521,"15,16년"
291,에넥스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타제조업,4850,2375,-0.5103092783505154,"15,16년"
292,에스엘,2.0,3.0,1.5,1.0,3.0,1.5,-1.0,0.0,0.0,운수장비,17000,15250,-0.10294117647058823,"15,16년"
293,에스원,1.0,1.5,1.5,2.0,3.0,1.5,1.0,1.5,0.0,서비스업,99000,92500,-0.06565656565656566,"15,16년"
294,에쓰씨엔지니어링,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,건설업,6080,3305,-0.4564144736842105,"15,16년"
295,에이블씨엔씨,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,24700,20950,-0.15182186234817813,"15,16년"
296,에이엔피,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,1260,2850,1.2619047619047619,"15,16년"
297,엔씨소프트,4.0,1.5,1.5,3.0,1.5,1.5,-1.0,0.0,0.0,서비스업,189500,264500,0.39577836411609496,"15,16년"
298,엔케이,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기계,5810,4815,-0.1712564543889845,"15,16년"
299,영보화학,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,4520,5290,0.17035398230088494,"15,16년"
300,영원무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,47900,32150,-0.3288100208768267,"15,16년"
301,영원무역홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,72000,57600,-0.2,"15,16년"
302,영진약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,2280,8750,2.837719298245614,"15,16년"
303,영풍,1.0,1.5,3.0,,1.5,1.5,,0.0,-1.5,철강금속,1252000,995000,-0.20527156549520767,"15,16년"
304,영풍제지,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,종이목재,2835,2900,0.02292768959435626,"15,16년"
305,영화금속,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수장비,1490,1685,0.13087248322147652,"15,16년"
306,오뚜기,1.0,1.5,1.5,,3.0,1.5,,1.5,0.0,음식료품,1049000,658000,-0.37273593898951385,"15,16년"
307,오리엔트바이오,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,의약품,1275,1670,0.30980392156862746,"15,16년"
308,우리종금,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,기타금융,611,686,0.12274959083469722,"15,16년"
309,우신시스템,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,3900,3805,-0.02435897435897436,"15,16년"
310,우진,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,의료정밀,7100,6530,-0.08028169014084507,"15,16년"
311,우진플라임,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기계,3720,5860,0.5752688172043011,"15,16년"
312,웅진,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,3010,2680,-0.10963455149501661,"15,16년"
313,웅진씽크빅,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,서비스업,8180,9530,0.16503667481662593,"15,16년"
314,원림,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,25650,26200,0.021442495126705652,"15,16년"
315,윌비스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,유통업,2325,2750,0.1827956989247312,"15,16년"
316,유니드,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,화학,51100,46700,-0.08610567514677103,"15,16년"
317,유니온,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,비금속광물,4195,3865,-0.07866507747318235,"15,16년"
318,유니퀘스트,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,유통업,4135,4925,0.19105199516324062,"15,16년"
319,유성기업,2.0,1.5,1.5,3.0,1.5,3.0,1.0,0.0,1.5,운수장비,4190,4040,-0.03579952267303103,"15,16년"
320,유수홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,8830,6260,-0.29105322763306907,"15,16년"
321,유안타증권,2.0,1.5,1.5,4.0,1.5,1.5,2.0,0.0,0.0,증권,3995,3140,-0.21401752190237797,"15,16년"
322,유엔젤,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,서비스업,5710,5450,-0.04553415061295972,"15,16년"
323,유유제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,11850,10200,-0.13924050632911392,"15,16년"
324,유한양행,3.0,1.5,3.0,3.0,1.5,3.0,0.0,0.0,0.0,의약품,283000,210000,-0.2579505300353357,"15,16년"
325,유화증권,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,증권,14700,15700,0.06802721088435375,"15,16년"
326,율촌화학,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,12350,13550,0.09716599190283401,"15,16년"
327,이건산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,종이목재,17000,11350,-0.3323529411764706,"15,16년"
328,이구산업,3.0,1.5,3.0,3.0,1.5,3.0,0.0,0.0,0.0,철강금속,1265,2000,0.5810276679841897,"15,16년"
329,이마트,1.0,1.5,4.0,1.0,1.5,4.0,0.0,0.0,0.0,유통업,212500,162500,-0.23529411764705882,"15,16년"
330,이수페타시스,1.0,1.5,3.0,,4.0,3.0,,2.5,0.0,전기전자,5050,4175,-0.17326732673267325,"15,16년"
331,이수화학,1.0,3.0,1.5,2.0,1.5,1.5,1.0,-1.5,0.0,화학,10300,15500,0.5048543689320388,"15,16년"
332,이스타코,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,서비스업,2835,1675,-0.4091710758377425,"15,16년"
333,이아이디,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,유통업,1275,729,-0.42823529411764705,"15,16년"
334,이연제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,36200,25500,-0.2955801104972376,"15,16년"
335,이월드,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기타제조업,2880,1900,-0.3402777777777778,"15,16년"
336,이화산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,20050,20100,0.0024937655860349127,"15,16년"
337,인디에프,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,2670,2800,0.04868913857677903,"15,16년"
338,인스코비,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,통신업,1310,2085,0.5916030534351145,"15,16년"
339,인지컨트롤스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수장비,5120,5010,-0.021484375,"15,16년"
340,인천도시가스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기가스업,34650,31300,-0.09668109668109669,"15,16년"
341,인터지스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수창고업,3590,3305,-0.07938718662952646,"15,16년"
342,인팩,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,운수장비,6240,6630,0.0625,"15,16년"
343,일성건설,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,건설업,11400,9100,-0.20175438596491227,"15,16년"
344,일성신약,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,의약품,104500,113500,0.0861244019138756,"15,16년"
345,일신방직,3.0,1.5,1.5,2.0,1.5,3.0,-1.0,0.0,1.5,섬유의복,158000,130000,-0.17721518987341772,"15,16년"
346,일신석재,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,1375,1260,-0.08363636363636363,"15,16년"
347,일양약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,56100,39150,-0.30213903743315507,"15,16년"
348,일정실업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,27000,30100,0.11481481481481481,"15,16년"
349,일진다이아,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,10250,7860,-0.23317073170731709,"15,16년"
350,일진디스플,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기전자,6860,4115,-0.4001457725947522,"15,16년"
351,일진전기,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기전자,5700,4650,-0.18421052631578946,"15,16년"
352,일진홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,기타금융,12050,5850,-0.5145228215767634,"15,16년"
353,자화전자,2.0,1.5,1.5,2.0,1.5,3.0,0.0,0.0,1.5,전기전자,11250,14550,0.29333333333333333,"15,16년"
354,전방,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,51500,38000,-0.2621359223300971,"15,16년"
355,제일기획,1.0,3.0,3.0,2.0,1.5,3.0,1.0,-1.5,0.0,서비스업,20000,16950,-0.1525,"15,16년"
356,제일연마,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,비금속광물,7650,6390,-0.16470588235294117,"15,16년"
357,제주은행,4.0,1.5,1.5,5.0,3.0,1.5,1.0,1.5,0.0,은행,9950,7770,-0.21909547738693466,"15,16년"
358,조광페인트,,1.5,1.5,2.0,1.5,1.5,,0.0,0.0,화학,15450,11400,-0.2621359223300971,"15,16년"
359,조광피혁,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타제조업,49850,38000,-0.23771313941825475,"15,16년"
360,조비,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,12300,13300,0.08130081300813008,"15,16년"
361,조선내화,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,비금속광물,94500,92000,-0.026455026455026454,"15,16년"
362,조선선재,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,68900,65700,-0.04644412191582003,"15,16년"
363,조일알미늄,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,철강금속,1540,1770,0.14935064935064934,"15,16년"
364,조흥,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,154000,155500,0.00974025974025974,"15,16년"
365,종근당,2.0,1.5,1.5,2.0,3.0,1.5,0.0,1.5,0.0,의약품,63800,92700,0.45297805642633227,"15,16년"
366,종근당바이오,2.0,1.5,1.5,2.0,1.5,3.0,0.0,0.0,1.5,의약품,19750,22350,0.13164556962025317,"15,16년"
367,종근당홀딩스,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,79800,66400,-0.16791979949874686,"15,16년"
368,주연테크,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,1000,1335,0.335,"15,16년"
369,지엠비코리아,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,운수장비,5630,4785,-0.15008880994671403,"15,16년"
370,지역난방공사,4.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,0.0,전기가스업,62100,69000,0.1111111111111111,"15,16년"
371,지투알,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,서비스업,9740,7880,-0.19096509240246407,"15,16년"
372,진도,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,유통업,6560,6730,0.025914634146341462,"15,16년"
373,진양산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,3090,4375,0.41585760517799353,"15,16년"
374,진양홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,4095,3475,-0.1514041514041514,"15,16년"
375,진양화학,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,3600,4410,0.225,"15,16년"
376,진원생명과학,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,의약품,13800,11050,-0.19927536231884058,"15,16년"
377,진흥기업,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,건설업,2240,1755,-0.21651785714285715,"15,16년"
378,참엔지니어링,1.0,1.5,1.5,,1.5,1.5,,0.0,0.0,기계,1430,2880,1.013986013986014,"15,16년"
379,천일고속,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수창고업,77100,90500,0.17380025940337224,"15,16년"
380,체시스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,운수장비,1900,2135,0.12368421052631579,"15,16년"
381,카프로,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,화학,2815,5520,0.9609236234458259,"15,16년"
382,코리아써키트,2.0,1.5,3.0,1.0,1.5,3.0,-1.0,0.0,0.0,전기전자,11050,8050,-0.27149321266968324,"15,16년"
383,코리안리,4.0,1.5,1.5,5.0,1.5,1.5,1.0,0.0,0.0,보험,13600,11800,-0.1323529411764706,"15,16년"
384,코스맥스비티아이,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,71300,40300,-0.43478260869565216,"15,16년"
385,코스모신소재,1.0,3.0,3.0,1.0,1.5,3.0,0.0,-1.5,0.0,화학,2965,5140,0.7335581787521079,"15,16년"
386,코스모화학,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,화학,5530,4335,-0.21609403254972875,"15,16년"
387,코아스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타제조업,2440,1580,-0.3524590163934426,"15,16년"
388,코오롱,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타금융,64100,50900,-0.2059282371294852,"15,16년"
389,코오롱글로벌,2.0,1.5,1.5,3.0,3.0,1.5,1.0,1.5,0.0,건설업,17000,13350,-0.21470588235294116,"15,16년"
390,코오롱인더,2.0,3.0,3.0,2.0,1.5,3.0,0.0,-1.5,0.0,화학,62100,74400,0.19806763285024154,"15,16년"
391,코오롱플라스틱,3.0,3.0,3.0,2.0,1.5,4.0,-1.0,-1.5,1.0,화학,7750,6920,-0.10709677419354839,"15,16년"
392,코웨이,2.0,4.0,4.0,2.0,5.0,4.0,0.0,1.0,0.0,서비스업,85200,89600,0.051643192488262914,"15,16년"
