종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"002240","고려제강","KOSPI","철강금속","28750","-1850","-6.05","661250000000"
"009290","광동제약","KOSPI","의약품","7890","-120","-1.50","413600514390"
"017040","광명전기","KOSPI","전기전자","3460","85","2.52","149948147900"
"017900","광전자","KOSPI","전기전자","2860","5","0.18","165719162180"
"037710","광주신세계","KOSPI","유통업","192000","-3000","-1.54","307200000000"
"030610","교보증권","KOSPI","증권","8360","-140","-1.65","540501554560"
"339770","교촌에프앤비","KOSPI","유통업","18650","-650","-3.37","465924371000"
"007690","국도화학","KOSPI","화학","73800","300","0.41","664983460800"
"005320","국동","KOSPI","유통업","3725","100","2.76","201425493550"
"001140","국보","KOSPI","운수창고업","1550","145","10.32","94651588550"
"002720","국제약품","KOSPI","의약품","6520","-400","-5.78","125680106800"
"083420","그린케미칼","KOSPI","화학","10050","-450","-4.29","241200000000"
"014530","극동유화","KOSPI","화학","4385","-150","-3.31","152902406700"
"014280","금강공업","KOSPI","철강금속","7950","-120","-1.49","233168388150"
"014285","금강공업우","KOSPI","철강금속","12900","-250","-1.90","7609387500"
"008870","금비","KOSPI","비금속광물","69400","-1700","-2.39","69400000000"
"001570","금양","KOSPI","화학","5100","-200","-3.77","247986714600"
"002990","금호건설","KOSPI","건설업","12550","-500","-3.83","459755746200"
"002995","금호건설우","KOSPI","건설업","31900","-900","-2.74","9323285400"
"011780","금호석유","KOSPI","화학","180000","-9000","-4.76","5484184380000"
"011785","금호석유우","KOSPI","화학","114000","-4000","-3.39","344677404000"
"214330","금호에이치티","KOSPI","운수장비","2260","-140","-5.83","310999951480"
"001210","금호전기","KOSPI","전기전자","3650","10","0.27","61879931900"
"073240","금호타이어","KOSPI","화학","5320","-190","-3.45","1528224726840"
"092440","기신정기","KOSPI","기계","4260","-55","-1.27","124392000000"
"000270","기아","KOSPI","운수장비","78300","-2900","-3.57","31739950070100"
"024110","기업은행","KOSPI","은행","10400","-100","-0.95","7740726104800"
"013700","까뮤이앤씨","KOSPI","건설업","2650","5","0.19","119653542000"
"004540","깨끗한나라","KOSPI","종이목재","4725","-20","-0.42","175962274425"
"004545","깨끗한나라우","KOSPI","종이목재","21750","-550","-2.47","7963980000"
"001260","남광토건","KOSPI","건설업","15850","700","4.62","155788080850"
"008350","남선알미늄","KOSPI","철강금속","3355","20","0.60","369650846950"
"008355","남선알미우","KOSPI","철강금속","29100","-250","-0.85","8959599000"
"004270","남성","KOSPI","유통업","3360","-140","-4.00","121672857600"
