회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
아세아제지(주),002310,2014/12,577677127,25.51,20.33,79.67,-8.83,52861443,0,0,19026597,19026597
아시아나아이디티(주),267850,2014/12,149957862,61.92,38.24,61.76,-0.63,14865784,0,0,14069378,14069378
아시아나항공(주),020560,2014/12,6480317669,715.41,87.74,12.26,1.64,326932434,0,0,42228111,42228111
아이에스동서(주),010780,2014/12,969491127,127.08,55.96,44.04,17.65,106302686,0,18345014,70295353,70295353
아주스틸(주),139990,2014/12,,,,,,,,,,
애경산업(주),018250,2014/12,,,,,,,,,,
애경케미칼(주),161000,2014/12,354350069,92.43,48.03,51.97,-3.26,15337866,0,0,39493084,39493084
에스디바이오센서(주),137310,2014/12,,,,,,,,,,
에스엘(주),005850,2014/12,698891547,30.83,23.56,76.44,-2.7,49953563,0,0,19173286,19173286
에스지씨에너지(주),005090,2014/12,635812999,170.25,63,37,-1.52,9092259,0,0,8531682,8531682
에스케이(주),034730,2014/12,3176861131,198.44,66.49,33.51,9.33,179311330,0,0,237216884,237216884
에스케이가스(주),018670,2014/12,2117657314,90.19,47.42,52.58,2.78,198038089,0,0,82110014,82110014
에스케이네트웍스(주),001740,2014/12,7883422775,229.78,69.68,30.32,-13.81,-261736912,0,49757000,184404160,184404160
에스케이디스커버리(주),006120,2014/12,2344300438,150.78,60.12,39.88,-16.96,-12952688,0,0,35597241,35597241
에스케이디앤디(주),210980,2014/12,386471491,222.5,68.99,31.01,0,-41755882,0,0,25172982,25172982
에스케이렌터카(주),068400,2014/12,868731480,325.98,76.52,23.48,10.98,-68237926,0,2725403,41996216,41996216
에스케이바이오팜(주),326030,2014/12,228650588,11.35,10.2,89.8,23.93,-42520431,36104906,0,-39857304,-39857304
에스케이씨(주),011790,2014/12,2572343226,102.6,50.64,49.36,2.59,128921695,0,0,136782324,136782324
