,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
코리아써키트,전기전자,2013,551207964000.0,39.17,71.85,5.3,0.13817186890193664,1.36,B이하,C,B이하,B이하,2756000.0
코스모신소재,화학,2013,274132680000.0,174.95,36.37,18.72,-0.09278754191620674,0.865,B이하,C,B이하,B이하,0.0
코스모화학,화학,2013,764170955000.0,151.02,39.84,0.0,0.04267828546829838,0.5449999999999999,B이하,B,B이하,B+,0.0
코아스,기타제조업,2013,98569947000.0,160.23,38.43,15.02,0.06810329912448541,1.035,B이하,B,B이하,B이하,0.0
코오롱,서비스업,2013,3775562705000.0,356.29,21.92,-6.06,0.2141451041699901,0.475,B이하,B,B이하,B이하,6623000.0
코오롱글로벌,건설업,2013,2439992829000.0,520.15,16.13,-14.77,0.007124428432595444,1.105,B이하,B+,B이하,B이하,0.0
코오롱플라스틱,화학,2013,219566895000.0,148.02,40.32,-3.15,-0.02816505673656995,1.605,B+,B+,B+,B+,0.0
코웨이,서비스업,2013,1667858723000.0,77.26,56.41,6.3,0.2775748638254235,5.335,B+,B,A,A,123613000.0
콤텍시스템,서비스업,2013,119842093000.0,114.78,46.56,13.25,-0.03347557599596123,0.9199999999999999,B이하,B,B이하,B이하,956000.0
키움증권,증권,2013,4199051874000.0,387.92,20.49,-9.93,1.0043100854278997,1.7399999999999998,B이하,B+,B이하,B이하,9945000.0
태경산업,화학,2013,435097316000.0,54.47,64.74,9.58,0.21961984306798255,0.825,B이하,B,B이하,B이하,4384000.0
태광산업,화학,2013,3994992553000.0,47.75,67.68,-5.43,0.09279276809672489,0.585,B이하,D,B이하,B이하,1473000.0
태림포장,종이목재,2013,568149736000.0,56.12,64.05,-6.25,0.06717295589770426,0.55,B이하,C,B이하,B이하,1770000.0
태영건설,건설업,2013,2994170059000.0,137.09,42.18,-4.44,0.04366380926294387,0.635,B이하,B+,B이하,B이하,0.0
태원물산,운수장비,2013,42416670000.0,37.19,72.89,-14.64,0.046651056449069694,0.585,B이하,B,B이하,B이하,590000.0
태평양물산,섬유의복,2013,567236761000.0,252.09,28.4,37.93,-0.054448991825113084,3.875,B이하,B,B이하,B이하,1234000.0
