기업명,업종명,평가연도,총자산규모,부채비율,자기자본비율,매출액증가율,현금흐름,PBR,ESG_-,ESG_A,ESG_A+,ESG_B,ESG_B+,ESG_B이하,ESG_C,ESG_D,E_-,E_A,E_A+,E_B,E_B+,E_B+ 이하,E_C,E_D,S_-,S_A,S_A+,S_B,S_B+,S_B이하,S_C,S_D,G_-,G_A,G_A+,G_B,G_B+,G_B이하,G_C,G_D,배당률
경동인베스트,기타금융,2022,586813598000.0,30.2,76.81,-7.68,0.007848012765586,0.6799999999999999,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,일반배당기업
경방,유통업,2022,1248318314000.0,65.34,60.48,1.53,0.1457918232891526,0.51,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
경보제약,의약품,2022,240544942000.0,67.39,59.74,15.0,0.0515972590962799,1.375,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,일반배당기업
경인양행,화학,2022,548252999000.0,105.99,48.55,-0.17,0.0528841784696765,1.1800000000000002,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,일반배당기업
경인전자,전기전자,2022,68385030000.0,6.91,93.53,-26.77,0.2457377925004771,0.825,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
계양전기,기계,2022,297554555000.0,132.61,42.99,-6.94,-0.0099330630059426,0.895,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,일반배당기업
고려산업,음식료품,2022,274703528000.0,160.0,38.46,30.39,-0.0639802692648532,1.96,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,일반배당기업
고려아연,철강금속,2022,12097918359000.0,31.05,76.31,12.45,0.0703813003178274,1.36,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,고배당기업
고려제강,철강금속,2022,2532768398000.0,46.61,68.21,22.54,0.0039638967050498,0.4549999999999999,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,일반배당기업
광동제약,의약품,2022,932023759000.0,70.37,58.69,6.98,0.0496362093701326,0.7,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,일반배당기업
