회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),부채비율(IFRS),타인자본구성비율(IFRS),자기자본구성비율(IFRS),매출액증가율(IFRS),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),경상연구개발비(IFRS)(천원),광고 및 판매촉진비(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(계산수치)(IFRS)(천원)
(주)휴니드테크놀러지스,005870,2017/12,147679832,34.75,25.79,74.21,1.07,-8403802,0,0,16809732,16809732
(주)휴비스,079980,2017/12,787780989,113.93,53.26,46.74,15.6,71658049,0,681765,13306461,13306461
(주)휴스틸,005010,2017/12,663724584,71.14,41.57,58.43,68.78,-85174975,0,0,24924904,24924904
AJ네트웍스(주),095570,2017/12,974532773,232.81,69.95,30.05,14.41,-96387172,0,268009,36587200,36587200
CS홀딩스(주),000590,2017/12,172056738,4.77,4.55,95.45,45.33,1069485,0,0,985702,985702
DB금융투자(주),016610,2017/12,5401796640,811.05,89.02,10.98,-34.4,-69079254,0,0,0,30620545
DB손해보험(주),005830,2017/12,37403825014,747.1,88.2,11.8,4.82,1085674415,0,0,,813221305
HD현대(주),267250,2017/12,7750711883,,,,,251389748,0,0,282227537,282227537
KG스틸(주),016380,2017/12,2323882283,1374.45,93.22,6.78,12.35,134320775,0,0,-32003467,-32003467
KISCO홀딩스(주),001940,2017/12,548751136,0.07,0.07,99.93,-6.06,11090674,0,10000,10528356,10528356
LG이노텍(주),011070,2017/12,5391209318,200.69,66.74,33.26,34.35,487277959,0,0,266339127,266339127
LS일렉트릭(주),010120,2017/12,2086912499,93.07,48.21,51.79,5.55,130300025,0,0,143061115,143061115
OCI(주),010060,2017/12,5268314789,58.35,36.85,63.15,11.09,529011862,0,0,259173150,259173150
SK이노베이션(주),096770,2017/12,14795190020,13.05,11.55,88.45,158.67,1898785919,0,0,1709168894,1709168894
SNT다이내믹스(주),003570,2017/12,813215285,35.14,26,74,-7.15,32129373,0,0,-36005754,-36005754
SNT모티브(주),064960,2017/12,953781276,43.22,30.18,69.82,4.91,66350259,0,0,73016558,73016558
STX엔진(주),077970,2017/12,820067933,670.04,87.01,12.99,-13.8,67224465,11886798,0,16210836,16210836
STX중공업(주),071970,2017/12,744332662,408.64,80.34,19.66,-39.55,6686434,891483,0,29227983,29227983
가온전선(주),000500,2017/12,505917314,96.32,49.06,50.94,8.71,-17285662,205405,0,6265916,6265916
강남제비스코(주),000860,2017/12,406632324,18.74,15.78,84.22,3.47,22756780,0,1786000,12376995,12376995
경인전자(주),009140,2017/12,55800565,3.65,3.52,96.48,-42.55,1324419,0,0,-258728,-258728
계룡건설산업(주),013580,2017/12,1215806878,296,74.75,25.25,4.45,-27648506,0,0,78688035,78688035
계양전기(주),012200,2017/12,248233750,38.3,27.69,72.31,1.98,20761419,0,0,10831919,10831919
고려산업(주),002140,2017/12,169236176,104.95,51.21,48.79,1.58,3319686,0,0,6007784,6007784
고려아연(주),010130,2017/12,6304117204,9.55,8.72,91.28,8.08,676572778,0,0,761189745,761189745
고려제강(주),002240,2017/12,1381863487,30.05,23.11,76.89,2.13,38365492,0,0,22034609,22034609
광동제약(주),009290,2017/12,584095470,51.81,34.13,65.87,8.21,21873640,0,0,36867363,36867363
광전자(주),017900,2017/12,235532492,14.64,12.77,87.23,5.04,4380538,5756385,0,9281883,9281883
