,ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),타인자본구성비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),경상연구개발비(IFRS연결)(천원),광고 및 판매촉진비(IFRS연결)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),* (정상)영업손익(계산수치)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS)
가온전선,C,B,C,B이하,2011,전기전자,500,2011/12,509900791.0,1964.0,96.1,49.0,51.0,31.52,-19623646.0,1611866.0,0.0,5425009.0,12697155.0,0.41,0.22
강원랜드,B이하,B+,B이하,C,2011,서비스업,35250,2011/12,2711401782.0,184734.0,20.11,16.75,83.25,-3.66,417827759.0,0.0,23780315.0,488541474.0,489646463.0,3.25,2.37
경농,B이하,B,B이하,B이하,2011,화학,2100,2011/12,173774102.0,1468.0,21.53,17.72,82.28,0.0,14162963.0,0.0,0.0,7676752.0,7102202.0,0.66,0.41
경동나비엔,B이하,B,B이하,B이하,2011,전기전자,9450,2011/12,263211016.0,1247.0,56.57,36.13,63.87,11.09,15493744.0,4185928.0,0.0,12421333.0,11937375.0,3.2,0.41
경방,B이하,B,B이하,C,2011,섬유의복,50,2011/12,1352324332.0,0.0,114.76,53.44,46.56,2.59,-14647398.0,0.0,3618514.0,22188217.0,22059511.0,0.45,0.26
경인양행,B이하,B,B이하,B이하,2011,화학,12610,2011/12,319596954.0,1845.0,81.29,44.84,55.16,-12.89,9839673.0,0.0,0.0,6353143.0,6353143.0,1.06,0.45
경인전자,C,B,C,C,2011,전기전자,9140,2011/12,63394446.0,698.0,14.26,12.48,87.52,0.0,3236038.0,0.0,0.0,284175.0,345574.0,0.58,0.32
계양전기,B이하,B,B이하,C,2011,기계,12200,2011/12,170610595.0,1637.0,23.1,18.76,81.24,21.23,2739193.0,0.0,0.0,8331250.0,5603206.0,1.09,0.53
고려산업,B이하,C,B이하,C,2011,음식료품,2140,2011/12,124894379.0,724.0,122.77,55.11,44.89,0.0,4450090.0,0.0,0.0,6671407.0,6388773.0,0.46,0.26
고려아연,B이하,B+,B이하,B이하,2011,철강금속,10130,2011/12,4606179546.0,88371.0,31.21,23.79,76.21,44.77,909319544.0,0.0,0.0,964410897.0,968149521.0,2.91,1.36
고려제강,B이하,C,B이하,C,2011,철강금속,2240,2011/12,1823262406.0,4549.0,43.36,30.25,69.75,8.42,102296236.0,0.0,0.0,107447004.0,92742983.0,0.78,0.49
광동제약,B이하,C,B이하,B이하,2011,의약품,9290,2011/12,321682097.0,2132.0,28.92,22.43,77.57,8.39,27678909.0,0.0,0.0,38614544.0,40423192.0,0.85,0.59
광명전기,C,B,C,B이하,2011,전기전자,17040,2011/12,123886511.0,0.0,96.84,49.2,50.8,-10.75,1765403.0,0.0,0.0,496117.0,496117.0,3.07,1.14
광전자,C,C,C,B이하,2011,전기전자,17900,2011/12,350230397.0,0.0,54.0,35.06,64.94,15.28,19749357.0,9084148.0,0.0,-39950314.0,824400.0,1.51,0.53
광주신세계,B+,B+,B+,B이하,2011,유통업,37710,2011/12,,2000.0,,,,,,,,,,1.04,0.78
교보증권,B+,C,B이하,C,2011,증권,30610,2011/03,,3568.0,,,,,,,,,,0.73,0.45
국도화학,B이하,B,B이하,B이하,2011,화학,7690,2011/12,567444580.0,4648.0,79.85,44.4,55.6,9.39,76466136.0,0.0,0.0,37915827.0,37790617.0,1.59,0.67
국동,B이하,B,B이하,C,2011,유통업,5320,2011/12,68162305.0,0.0,1069.25,91.45,8.55,1.4,-963482.0,0.0,0.0,1137580.0,402872.0,3.26,0.25
국보,B이하,B,B이하,B이하,2011,운수창고업,1140,2011/12,98869465.0,50.0,186.86,65.14,34.86,10.01,3249944.0,0.0,0.0,1737608.0,740877.0,0.68,0.39
국제약품,B이하,B,B이하,B이하,2011,의약품,2720,2011/03,142910369.0,1046.0,93.46,48.31,51.69,0.0,-1729211.0,0.0,0.0,9522664.0,8250110.0,0.8,0.42
극동유화,B이하,B,B이하,B이하,2011,화학,14530,2011/12,,2441.0,,,,,,,,,,0.79,0.49
금강공업,B이하,B,B이하,C,2011,철강금속,14280,2011/12,431242593.0,1124.0,123.63,55.28,44.72,8.13,35745306.0,0.0,0.0,8906080.0,8827810.0,0.53,0.25
금양,C,B,C,C,2011,화학,1570,2011/12,130817841.0,840.0,189.58,65.47,34.53,6.9,-688415.0,0.0,0.0,6952664.0,5687029.0,1.2,0.54
금호전기,B이하,B,B이하,B이하,2011,전기전자,1210,2011/12,549343934.0,2663.0,103.37,50.83,49.17,-17.14,-15043637.0,0.0,0.0,10764997.0,10488501.0,1.18,0.48
깨끗한나라,B이하,B,B이하,B+,2011,종이목재,4540,2011/12,442025037.0,0.0,322.33,76.32,23.68,13.87,33874614.0,0.0,12397385.0,11788406.0,12503463.0,1.53,0.84
남광토건,B이하,C,B이하,B이하,2011,건설업,1260,2011/12,883710234.0,0.0,0.0,107.43,0.0,-2.51,48986979.0,0.0,0.0,-126029097.0,-116570940.0,0.0,0.0
남선알미늄,C,C,C,B이하,2011,철강금속,8350,2011/12,259574975.0,0.0,249.67,71.4,28.6,11.64,-2094649.0,0.0,0.0,4920524.0,4168554.0,3.49,1.17
남성,C,C,C,C,2011,유통업,4270,2011/12,222934371.0,839.0,157.95,61.23,38.77,-14.28,3187221.0,457779.0,0.0,-328193.0,-207956.0,0.4,0.27
남양유업,C,B,C,C,2011,음식료품,3920,2011/12,1012073856.0,857.0,23.58,19.08,80.92,17.18,-2684456.0,0.0,95878714.0,49087470.0,47192690.0,1.0,0.71
남해화학,B이하,B,B이하,B이하,2011,화학,25860,2011/12,,882.0,,,,,,,,,,2.7,1.16
넥센,B이하,B,B이하,C,2011,화학,5720,2011/12,521959112.0,1074.0,63.37,38.79,61.21,12.82,18292643.0,0.0,0.0,15934948.0,15269219.0,1.07,0.67
넥센타이어,B이하,C,B이하,B이하,2011,화학,2350,2011/12,1902240724.0,6027.0,236.65,70.3,29.7,24.49,-14223876.0,0.0,12067413.0,114316396.0,111979472.0,4.18,1.54
노루페인트,B이하,B,B이하,B이하,2011,화학,90350,2011/12,490240264.0,3069.0,118.78,54.29,45.71,19.61,25186149.0,0.0,3719632.0,14821355.0,14188474.0,0.39,0.24
노루홀딩스,C,B,C,C,2011,서비스업,320,2011/12,787102842.0,4170.0,116.98,53.91,46.09,16.97,33689705.0,0.0,4213582.0,15269331.0,13143430.0,0.67,0.4
녹십자,B이하,B,B이하,B이하,2011,의약품,6280,2011/12,860353832.0,15166.0,36.5,26.74,73.26,0.0,54855488.0,0.0,0.0,88336683.0,85386142.0,3.22,1.95
녹십자홀딩스,B이하,B,B이하,C,2011,서비스업,5250,2011/12,4603216704.0,10954.0,413.89,80.54,19.46,-2.95,116177695.0,0.0,0.0,99800853.0,105781013.0,15.07,1.15
농심,B이하,B,B이하,B이하,2011,음식료품,4370,2011/12,2270287656.0,23131.0,49.44,33.08,66.92,4.23,120722289.0,0.0,77223531.0,115843797.0,102305653.0,1.18,0.85
농심홀딩스,B이하,B,B이하,C,2011,서비스업,72710,2011/12,989299514.0,9276.0,41.39,29.28,70.72,7.46,13388611.0,0.0,0.0,51759938.0,13422916.0,0.6,0.44
다우기술,B이하,C,B이하,C,2011,서비스업,23590,2011/12,4235093248.0,5550.0,292.92,74.55,25.45,2.61,-62284579.0,0.0,13852363.0,178736236.0,173614927.0,1.38,0.81
대교,B이하,A,B이하,C,2011,서비스업,19680,2011/12,858490568.0,14234.0,33.35,25.01,74.99,3.16,40387553.0,0.0,35061000.0,68878673.0,56129474.0,1.33,0.89
대구백화점,B이하,B+,B이하,B이하,2011,유통업,6370,2011/03,,3159.0,,,,,,,,,,0.4,0.27
대림통상,B이하,C,B이하,B이하,2011,기계,6570,2011/12,267062895.0,1827.0,80.77,44.68,55.32,1.77,4858882.0,551691.0,0.0,3617060.0,2215069.0,0.57,0.37
대상,B이하,B,B이하,B이하,2011,음식료품,1680,2011/12,1565601613.0,3616.0,186.17,65.06,34.94,21.22,30116476.0,0.0,51505000.0,102480000.0,108870434.0,1.18,0.48
대상홀딩스,C,B,C,C,2011,서비스업,84690,2011/12,576988559.0,5578.0,38.99,28.05,71.95,140.74,13813276.0,0.0,0.0,37872570.0,30253548.0,0.46,0.27
대성홀딩스,C,B,C,C,2011,서비스업,16710,2011/12,941567070.0,3218.0,105.3,51.29,48.71,20.73,37143643.0,0.0,1496899.0,38163650.0,21265498.0,1.23,0.44
대신증권,B이하,A,B이하,C,2011,증권,3540,2011/03,9561512936.0,59768.0,463.71,82.26,17.74,28.28,332508289.0,0.0,0.0,432676962.0,83963969.0,0.96,0.72
대양금속,C,C,C,C,2011,철강금속,9190,2011/12,213532161.0,0.0,600.95,85.73,14.27,-32.13,8131017.0,0.0,0.0,-23481341.0,-23938942.0,2.56,1.2
대영포장,B이하,C,B이하,B이하,2011,종이목재,14160,2011/12,,0.0,,,,,,,,,,0.51,0.32
대우건설,B이하,B,B이하,B이하,2011,건설업,47040,2011/12,9468578921.0,0.0,177.49,63.96,36.04,4.56,-106374237.0,19217000.0,45366000.0,331859285.0,328177440.0,1.98,1.0
대우조선해양,B+,B+,B+,A,2011,운수장비,42660,2011/12,16530738032.0,0.0,287.28,74.18,25.82,1.29,2258794.0,0.0,0.0,1009765331.0,967198406.0,2.17,0.89
대웅,B이하,B,B이하,C,2011,서비스업,3090,2011/12,476954187.0,4499.0,41.91,29.53,70.47,0.0,10404680.0,0.0,679301.0,49904392.0,51319479.0,0.79,0.56
대웅제약,B+,B,B이하,C,2011,의약품,69620,2011/12,498461064.0,7783.0,37.54,27.29,72.71,0.0,78822881.0,0.0,40613908.0,63630246.0,59288726.0,1.59,0.86
대원강업,B이하,C,B이하,B이하,2011,운수장비,430,2011/12,955647662.0,6704.0,134.75,57.4,42.6,20.91,35449088.0,0.0,0.0,68235235.0,63071239.0,1.62,0.8
대원전선,C,C,C,B이하,2011,전기전자,6340,2011/12,216443383.0,0.0,218.57,68.61,31.39,0.0,30601004.0,0.0,0.0,7956650.0,7398009.0,1.01,0.51
대원제약,B이하,B+,B이하,C,2011,의약품,3220,2011/12,140388079.0,1276.0,35.1,25.98,74.02,-4.02,17932732.0,0.0,5731828.0,12666544.0,14069170.0,1.09,0.61
대원화성,C,B,C,B이하,2011,화학,24890,2011/12,108431492.0,0.0,182.14,64.56,35.44,12.29,-260092.0,0.0,0.0,-3797398.0,-2095616.0,1.27,0.53
대유에이텍,B이하,C,B이하,B이하,2011,운수장비,2880,2011/12,362524758.0,1277.0,383.91,79.34,20.66,68.41,-22906879.0,0.0,0.0,14619763.0,15981227.0,3.91,1.05
대창,B이하,C,B이하,B이하,2011,철강금속,12800,2011/12,485259912.0,0.0,167.75,62.65,37.35,6.58,10189603.0,1813563.0,0.0,18334373.0,17050306.0,1.43,0.52
대창단조,C,C,C,B이하,2011,운수장비,15230,2011/12,148832447.0,2000.0,77.83,43.77,56.23,29.25,25175911.0,0.0,0.0,31532679.0,31559318.0,1.47,0.72
대한방직,C,B,C,C,2011,섬유의복,1070,2011/12,272312547.0,0.0,214.47,68.2,31.8,-5.23,-2001726.0,0.0,0.0,-9357138.0,-9357137.0,0.45,0.25
대한유화,B이하,B,B이하,B이하,2011,화학,6650,2011/12,1271667971.0,9264.0,65.44,39.55,60.45,10.59,30220897.0,0.0,0.0,51395541.0,40939427.0,1.54,0.54
대한전선,C,B,C,B이하,2011,전기전자,1440,2011/12,3522892708.0,0.0,985.62,90.79,9.21,2.1,-11964700.0,0.0,0.0,-30792206.0,5995233.0,3.79,1.18
대한제강,B+,B,B이하,B이하,2011,철강금속,84010,2011/12,794943509.0,2205.0,141.34,58.56,41.44,12.73,-4034854.0,0.0,195555.0,17810991.0,17437367.0,0.84,0.37
대한제당,B이하,B,B이하,C,2011,음식료품,1790,2011/12,1595832317.0,2755.0,286.17,74.1,25.9,6.76,2617464.0,0.0,0.0,42604518.0,42604518.0,1.24,0.38
대한제분,B이하,B,B이하,C,2011,음식료품,1130,2011/12,845150369.0,5339.0,51.24,33.88,66.12,3.41,7712144.0,0.0,2206813.0,4420775.0,5749429.0,0.58,0.4
대한항공,A,B+,A,A,2011,운수창고업,3490,2011/12,22388342727.0,0.0,708.55,87.63,12.37,5.4,2025229876.0,0.0,0.0,460163461.0,460163461.0,3.1,1.5
대한화섬,B이하,C,B이하,B이하,2011,화학,3830,2011/12,,842.0,,,,,,,,,,0.48,0.28
대현,C,B+,C,C,2011,섬유의복,16090,2011/12,,974.0,,,,,,,,,,2.03,0.49
대호에이엘,C,B,C,B이하,2011,철강금속,69460,2011/12,133330219.0,0.0,223.24,69.06,30.94,7.33,4318159.0,429953.0,0.0,12783543.0,12276727.0,3.02,1.27
더존비즈온,B이하,B,B이하,C,2011,서비스업,12510,2011/12,167409573.0,0.0,158.94,61.38,38.62,-1.45,29556021.0,0.0,0.0,14164103.0,17647499.0,9.47,2.9
덕성,C,B,C,C,2011,화학,4830,2011/12,89763557.0,317.0,57.61,36.55,63.45,-18.16,-4175187.0,0.0,26153.0,376754.0,127687.0,1.26,0.45
덕양산업,C,C,C,C,2011,운수장비,24900,2011/12,,16002.0,,,,,,,,,,1.57,0.47
동국제강,B이하,B+,B이하,B이하,2011,철강금속,1230,2011/12,10152885174.0,45434.0,222.55,69.0,31.0,8.43,-218149508.0,0.0,0.0,267069603.0,278579124.0,1.09,0.44
동남합성,C,C,C,C,2011,화학,23450,2011/12,,204.0,,,,,,,,,,1.32,0.44
동방,B이하,B,B이하,B이하,2011,운수창고업,4140,2011/12,585961449.0,569.0,373.6,78.89,21.11,6.83,13395890.0,0.0,0.0,25374901.0,23751144.0,0.89,0.32
동방아그로,B이하,B,B이하,C,2011,화학,7590,2011/12,149857220.0,2295.0,32.57,24.57,75.43,0.0,15180408.0,0.0,2683717.0,6886114.0,6886114.0,0.92,0.77
동부건설,B이하,B+,B이하,B이하,2011,건설업,5960,2011/12,2570902478.0,0.0,509.14,83.58,16.42,-1.07,254899568.0,42557000.0,0.0,-119664942.0,45749535.0,0.64,0.26
동성제약,B이하,B,B이하,C,2011,의약품,2210,2011/12,124577132.0,530.0,106.93,51.68,48.32,9.06,-2643337.0,0.0,0.0,3595243.0,3247590.0,0.63,0.36
동아지질,B이하,B,B이하,B이하,2011,건설업,28100,2011/12,202921027.0,1978.0,60.38,37.65,62.35,-22.15,-9861587.0,2021971.0,0.0,4579134.0,4279987.0,1.58,0.84
동양,B이하,B,B이하,C,2011,비금속광물,1520,2011/12,3633466665.0,0.0,927.33,90.27,9.73,50.57,-119428928.0,0.0,0.0,-25635268.0,11450483.0,3.51,0.9
동양고속,B이하,B,B이하,C,2011,운수창고업,84670,2011/12,290833249.0,2960.0,117.97,54.12,45.88,47.16,15587388.0,0.0,0.0,431643.0,9718908.0,0.55,0.35
동양철관,B이하,C,B이하,B이하,2011,철강금속,8970,2011/12,200430666.0,0.0,89.04,47.1,52.9,6.38,-473009.0,0.0,0.0,3005452.0,2387693.0,2.76,0.56
동원산업,B이하,C,B이하,C,2011,"농업, 임업 및 어업",6040,2011/12,1306812956.0,10090.0,163.04,61.98,38.02,2.22,38467309.0,0.0,0.0,96506851.0,96506851.0,1.52,1.0
동원수산,C,C,C,C,2011,"농업, 임업 및 어업",30720,2011/12,107105523.0,1532.0,140.16,58.36,41.64,0.0,3231079.0,0.0,0.0,6052556.0,4216747.0,2.54,0.62
동원시스템즈,C,C,C,B이하,2011,전기전자,14820,2011/12,450948473.0,0.0,397.73,79.91,20.09,8.48,-6627773.0,0.0,0.0,24092513.0,24092513.0,2.3,1.2
동일산업,C,B,C,B이하,2011,철강금속,4890,2011/12,,3542.0,,,,,,,,,,0.73,0.45
동화약품,B이하,B+,B이하,B이하,2011,의약품,20,2011/12,,2793.0,,,,,,,,,,0.82,0.49
두산,A,A+,A,A,2011,서비스업,150,2011/12,6296220754.0,54471.0,80.46,44.59,55.41,7.48,299878131.0,0.0,0.0,453241961.0,408852539.0,2.79,1.65
디씨엠,B이하,B,B이하,C,2011,철강금속,24090,2011/12,168125000.0,6054.0,21.22,17.5,82.5,13.44,11889000.0,0.0,0.0,24400000.0,24380000.0,1.77,0.73
디아이,B이하,B,B이하,B이하,2011,의료정밀,3160,2011/12,188261131.0,0.0,73.08,42.22,57.78,-2.57,-3709206.0,0.0,0.0,-5808175.0,-5808175.0,0.75,0.33
디아이씨,B이하,B,B이하,B이하,2011,운수장비,92200,2011/12,528402290.0,1085.0,218.79,68.63,31.37,21.49,5088916.0,0.0,0.0,20912968.0,20082832.0,1.77,0.88
롯데관광개발,B이하,B,B이하,B이하,2011,서비스업,32350,2011/12,224758209.0,0.0,149.81,59.97,40.03,36.42,1976623.0,0.0,2685871.0,-5637373.0,919920.0,3.16,1.81
롯데손해보험,B이하,B,B이하,C,2011,보험,400,2011/03,,0.0,,,,,,,,,,1.85,1.4
롯데쇼핑,A,B+,A,A,2011,유통업,23530,2011/12,33061119644.0,43565.0,125.23,55.6,44.4,17.01,870997946.0,0.0,434911114.0,1662900144.0,1818842311.0,1.24,0.7
마니커,B이하,C,B이하,C,2011,음식료품,27740,2011/12,281438687.0,0.0,218.64,68.62,31.38,7.3,8636509.0,0.0,0.0,4897767.0,6165103.0,0.88,0.5
명문제약,B이하,B+,B이하,C,2011,의약품,17180,2011/12,202503823.0,807.0,143.59,58.95,41.05,13.05,-1415963.0,0.0,6429115.0,10761979.0,11169276.0,1.18,0.48
모나리자,B이하,C,B이하,C,2011,종이목재,12690,2011/12,,1352.0,,,,,,,,,,3.49,0.59
모나미,B이하,B,B이하,B이하,2011,유통업,5360,2011/12,212142757.0,689.0,232.44,69.92,30.08,0.15,4818719.0,149378.0,3325101.0,12798899.0,12798899.0,1.19,0.31
모토닉,C,B,C,B이하,2011,운수장비,9680,2011/12,423199251.0,5654.0,19.63,16.41,83.59,-13.15,-3227069.0,6585925.0,0.0,26430500.0,21632866.0,1.2,0.66
무림페이퍼,B이하,B,B이하,B이하,2011,종이목재,9200,2011/12,2257628667.0,8322.0,245.43,71.05,28.95,14.95,-154935148.0,0.0,0.0,47524123.0,51245773.0,1.09,0.31
문배철강,C,B,C,C,2011,철강금속,8420,2011/12,,970.0,,,,,,,,,,0.73,0.43
미래산업,B이하,B+,B이하,B이하,2011,의료정밀,25560,2011/12,126114458.0,0.0,148.6,59.77,40.23,0.0,-1179885.0,0.0,0.0,-15294476.0,-10366892.0,5.01,1.98
미래에셋증권,B이하,B,B이하,C,2011,증권,6800,2011/03,19411867000.0,79517.0,610.68,85.93,14.07,-23.26,872439000.0,0.0,0.0,0.0,299404000.0,2.35,1.42
미원상사,B이하,B,B이하,B이하,2011,화학,2840,2011/12,148263212.0,511.0,77.29,43.6,56.4,21.93,9284580.0,0.0,0.0,17555606.0,13247954.0,1.5,0.86
백광산업,C,B,C,B이하,2011,화학,1340,2011/12,422390740.0,1371.0,106.47,51.57,48.43,8.03,26856766.0,0.0,0.0,16704855.0,17281812.0,0.81,0.47
백산,B이하,C,B이하,B이하,2011,화학,35150,2011/12,153278162.0,1888.0,83.86,45.61,54.39,17.95,12275221.0,0.0,0.0,13647429.0,14780042.0,1.8,0.71
범양건영,C,C,C,B이하,2011,건설업,2410,2011/12,297418155.0,0.0,12807.68,99.23,0.77,-52.77,-16891964.0,5940220.0,0.0,-178026434.0,-46954092.0,4.55,0.72
보락,B이하,B,B이하,B이하,2011,화학,2760,2011/12,,0.0,,,,,,,,,,1.1,0.64
보해양조,C,B,C,C,2011,음식료품,890,2011/12,244226095.0,0.0,375.72,78.98,21.02,0.45,19845896.0,0.0,10902843.0,-28185095.0,4102207.0,14.29,6.44
부광약품,B이하,B+,B이하,C,2011,의약품,3000,2011/03,,12994.0,,,,,,,,,,2.97,1.81
부국증권,B이하,B,B이하,C,2011,증권,1270,2011/03,652854503.0,10370.0,72.37,41.99,58.01,44.74,197376479.0,0.0,0.0,0.0,33646817.0,0.83,0.58
부국철강,C,B,C,C,2011,철강금속,26940,2011/12,,1500.0,,,,,,,,,,0.63,0.35
부산산업,C,C,C,C,2011,비금속광물,11390,2011/12,108216597.0,0.0,165.8,62.38,37.62,16.7,4427396.0,0.0,0.0,1396682.0,2022360.0,0.77,0.39
부산주공,B이하,B,B이하,B이하,2011,운수장비,5030,2011/12,,829.0,,,,,,,,,,1.04,0.42
비상교육,B이하,B,B이하,C,2011,서비스업,100220,2011/12,179673049.0,2502.0,44.64,30.86,69.14,18.75,6907875.0,0.0,17416856.0,15382089.0,15376660.0,1.3,0.57
빙그레,B+,B,B+,C,2011,음식료품,5180,2011/12,493949047.0,10610.0,24.41,19.62,80.38,0.0,13535338.0,0.0,0.0,49097713.0,50229551.0,1.76,1.18
사조대림,B이하,B,B이하,C,2011,음식료품,3960,2011/12,358454161.0,1925.0,138.05,57.99,42.01,35.76,-36592890.0,0.0,5316958.0,13493031.0,13430105.0,1.32,0.57
사조산업,B이하,B,B이하,C,2011,"농업, 임업 및 어업",7160,2011/12,1138408934.0,989.0,234.89,70.14,29.86,21.09,-44265872.0,0.0,0.0,86011368.0,73768388.0,1.74,1.13
사조오양,C,B,C,C,2011,"농업, 임업 및 어업",6090,2011/12,,0.0,,,,,,,,,,1.48,0.82
삼성SDI,A+,B,A+,A+,2011,전기전자,6400,2011/12,8527410755.0,67334.0,35.04,25.95,74.05,6.24,299737322.0,0.0,0.0,203713751.0,109967972.0,1.89,0.89
삼성공조,C,B,C,B이하,2011,운수장비,6660,2011/12,259963771.0,521.0,59.22,37.19,62.81,41.18,9350685.0,0.0,0.0,8186063.0,9109611.0,0.45,0.31
삼성물산,A+,B+,A+,A,2011,유통업,28260,2011/12,,0.0,,,,,,,,,,0.0,0.0
삼성엔지니어링,B+,B+,B+,B이하,2011,서비스업,28050,2011/12,5188614818.0,110872.0,295.07,74.69,25.31,75.03,175469961.0,0.0,0.0,717266264.0,618984952.0,9.77,5.74
삼성전기,A+,B+,A+,A+,2011,전기전자,9150,2011/12,7328861760.0,58244.0,89.09,47.12,52.88,-13.45,489069656.0,0.0,0.0,320857204.0,277814869.0,3.39,1.45
삼성전자,A,A,A,A+,2011,전기전자,5930,2011/12,155631254000.0,752195.0,52.81,34.56,65.44,6.71,22917901000.0,0.0,0.0,16249717000.0,15454900000.0,2.14,1.33
삼성제약,B이하,B,B이하,C,2011,의약품,1360,2011/12,,0.0,,,,,,,,,,1.34,0.36
삼성중공업,B이하,B,B이하,B+,2011,운수장비,10140,2011/12,16413939003.0,108366.0,253.44,71.71,28.29,1.87,1439763794.0,0.0,0.0,1159979071.0,1082610040.0,2.61,1.2
삼성증권,A,A,A,B+,2011,증권,16360,2011/03,15675659382.0,80881.0,449.69,81.81,18.19,-0.7,391518426.0,0.0,0.0,1132826883.0,340653080.0,2.56,1.33
삼성출판사,B이하,B,B이하,C,2011,서비스업,68290,2011/12,85801871.0,990.0,21.46,17.67,82.33,0.61,8143274.0,0.0,3834662.0,5176126.0,4818635.0,1.26,0.47
삼성카드,B+,B+,B+,C,2011,기타금융,29780,2011/12,16135253273.0,85724.0,163.16,62.0,38.0,-10.98,-1234193138.0,0.0,0.0,0.0,385036861.0,1.31,0.79
삼아알미늄,C,B,C,B이하,2011,철강금속,6110,2011/12,,1100.0,,,,,,,,,,4.27,0.23
삼양식품,B이하,B,B이하,C,2011,음식료품,3230,2011/12,321774390.0,1130.0,104.3,51.05,48.95,9.58,23188418.0,0.0,3613855.0,14929511.0,14802978.0,2.93,0.78
삼양통상,C,B,C,B이하,2011,기타제조업,2170,2011/12,249832139.0,2250.0,20.15,16.77,83.23,0.0,4623243.0,0.0,0.0,12479562.0,12570633.0,0.36,0.29
삼영무역,B이하,B,B이하,C,2011,유통업,2810,2011/12,240268361.0,1011.0,28.06,21.91,78.09,0.0,3011127.0,0.0,0.0,8706416.0,8706417.0,0.7,0.48
삼익악기,B이하,B,B이하,C,2011,기타제조업,2450,2011/12,351805364.0,2116.0,143.33,58.9,41.1,0.27,151840.0,0.0,1400777.0,10638521.0,8947246.0,1.25,0.53
삼일제약,B이하,B,B이하,C,2011,의약품,520,2011/12,121203013.0,782.0,81.98,45.05,54.95,-4.05,-4556635.0,0.0,11825123.0,-6959681.0,-8771619.0,0.51,0.37
삼정펄프,B이하,B,B이하,C,2011,종이목재,9770,2011/12,,1920.0,,,,,,,,,,0.63,0.41
삼진제약,B이하,B+,B이하,C,2011,의약품,5500,2011/12,,2863.0,,,,,,,,,,1.41,0.79
삼천리,B이하,B+,B이하,B이하,2011,전기가스업,4690,2011/12,2445760692.0,10690.0,114.15,53.3,46.7,12.77,88879395.0,341229.0,0.0,50265521.0,33989403.0,0.42,0.3
삼호개발,B이하,B,B이하,C,2011,건설업,10960,2011/12,197762038.0,1663.0,76.69,43.4,56.6,0.0,4731401.0,0.0,0.0,3267027.0,3198504.0,0.74,0.36
삼화왕관,B이하,B,B이하,B이하,2011,기계,4450,2011/12,,2046.0,,,,,,,,,,0.58,0.39
