,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),ESG 통합등급,2011_E,2011_S,2011_G,평가연도,업종명,현금흐름,PBR
신세계,4170,2011/12,4144705507000.0,7377000000.0,90.15,52.59,16.99,B이하,A,B이하,B이하,2011,유통업,-0.041800319997986904,2.255
신세계건설,34300,2011/12,491318941000.0,1146000000.0,202.03,33.11,18.25,B이하,B,B이하,B이하,2011,건설업,-0.030456288271746616,0.355
신영와코루,5800,2011/09,280438245000.0,1350000000.0,12.42,88.95,0.87,B이하,C,B이하,C,2011,섬유의복,0.06139005524284378,0.38
신원,9270,2011/12,411181825000.0,0.0,111.99,47.17,6.81,B이하,B,B이하,C,2011,섬유의복,-0.0449558365788295,0.45499999999999996
신풍제약,19170,2011/12,378499607000.0,2917000000.0,110.44,47.52,-0.53,B이하,B,B이하,B이하,2011,의약품,0.12772218838227775,5.87
신흥,4080,2011/12,142045998000.0,577000000.0,82.53,54.79,0.0,B이하,B+,B이하,C,2011,유통업,4.2854518627375454e-05,1.195
쌍방울,102280,2011/12,125765852000.0,0.0,70.71,58.58,12.94,B이하,C,B이하,C,2011,섬유의복,0.05290696716136193,1.47
써니전자,4770,2011/12,39869427000.0,0.0,103.13,49.23,-32.94,B이하,C,B이하,B이하,2011,전기전자,-0.14630957905203845,0.55
아남전자,8700,2011/12,133659153000.0,0.0,93.4,51.71,8.3,C,B,C,B이하,2011,전기전자,-0.0998830844480676,0.46499999999999997
아모레퍼시픽,90430,2011/12,2815427568000.0,44888000000.0,31.67,75.95,12.43,A,A,A,A,2011,화학,0.17572716094439408,3.875
아세아제지,2310,2011/12,458140729000.0,1752000000.0,107.68,48.15,15.1,B이하,C,B이하,B이하,2011,종이목재,0.08098347072722499,0.285
아시아나항공,20560,2011/12,5747431446000.0,0.0,567.31,14.99,6.14,B+,B,B+,A,2011,운수창고업,0.12024050689898318,2.17
아이에스동서,10780,2011/12,973623949000.0,5136000000.0,145.65,40.71,23.38,B이하,C,B이하,B이하,2011,비금속광물,-0.0902923418606564,1.315
에넥스,11090,2011/12,119599167000.0,0.0,163.8,37.91,12.3,B이하,B,B이하,C,2011,기타제조업,-0.0014212170694535163,0.46499999999999997
에스엘,5850,2011/03,1025741167000.0,6773000000.0,100.98,49.75,-1.83,B이하,B,B이하,B이하,2011,운수장비,0.10456303429170495,1.315
에스원,12750,2011/12,1057718910000.0,42173000000.0,38.98,71.95,14.27,B+,B+,B+,C,2011,서비스업,0.21792602748919632,3.115
에쓰씨엔지니어링,23960,2011/12,405239276000.0,1018000000.0,223.22,30.94,8.27,B이하,C,B이하,C,2011,서비스업,0.00371315852229722,0.5
에이엔피,15260,2011/12,255683632000.0,0.0,297.94,25.13,23.98,C,C,C,B이하,2011,전기전자,0.12105801346553013,0.665
엔씨소프트,36570,2011/12,1113431660000.0,11891000000.0,28.21,78.0,-7.7,B이하,B+,B이하,C,2011,서비스업,0.277011044090392,6.765000000000001
엔케이,85310,2011/12,440135252000.0,1551000000.0,175.06,36.36,4.57,B이하,C,B이하,B이하,2011,기계,-0.04040130559684052,1.94
영보화학,14440,2011/12,139042571000.0,975000000.0,60.82,62.18,0.0,B이하,C,B이하,B이하,2011,화학,0.11321183322817066,0.775
영원무역,111770,2011/12,844587128000.0,8162000000.0,46.41,68.3,22.76,C,B,C,C,2011,유통업,0.14171514613142064,1.8399999999999999
영원무역홀딩스,9970,2011/12,1268634513000.0,5398000000.0,46.68,68.18,20.82,C,B,C,C,2011,서비스업,4.340046712536545,2.035
영진약품,3520,2011/12,157786910000.0,0.0,75.55,56.96,-3.62,B이하,B,B이하,B이하,2011,의약품,0.07579460327371661,2.915
영풍,670,2011/12,2622323750000.0,15051000000.0,36.72,73.14,16.78,C,C,C,B이하,2011,철강금속,0.07508264267497,1.29
영풍제지,6740,2011/12,110562222000.0,462000000.0,18.01,84.74,8.57,C,C,C,B이하,2011,종이목재,0.028115906064641084,0.32999999999999996
영화금속,12280,2011/12,113212455000.0,935000000.0,208.92,32.37,16.51,C,C,C,C,2011,운수장비,0.07056168366937103,0.615
