,종목명,2016_E,2016_S,2016_G,2017_E,2017_S,2017_G,Diff_E,Diff_S,Diff_G,업종명,2016_종가,2017_종가,등락률,연도
363,일신방직,2.0,1.5,3.0,3.0,1.5,1.5,1.0,0.0,-1.5,섬유의복,130000,120000,-0.07692307692307693,"16,17년"
364,일신석재,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,유통업,1260,1325,0.051587301587301584,"16,17년"
365,일양약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,의약품,39150,34800,-0.1111111111111111,"16,17년"
366,일정실업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,섬유의복,30100,26900,-0.10631229235880399,"16,17년"
367,일진다이아,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,7860,19450,1.474554707379135,"16,17년"
368,일진디스플,2.0,1.5,1.5,1.0,1.5,3.0,-1.0,0.0,1.5,전기전자,4115,9150,1.2235722964763063,"16,17년"
369,일진전기,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,전기전자,4650,4600,-0.010752688172043012,"16,17년"
370,일진홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,5850,5190,-0.11282051282051282,"16,17년"
371,자화전자,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,전기전자,14550,21300,0.4639175257731959,"16,17년"
372,전방,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,섬유의복,38000,20200,-0.46842105263157896,"16,17년"
373,제일기획,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,서비스업,16950,20800,0.22713864306784662,"16,17년"
374,제일연마,1.0,1.5,1.5,3.0,1.5,1.5,2.0,0.0,0.0,비금속광물,6390,5810,-0.09076682316118936,"16,17년"
375,제주은행,5.0,3.0,1.5,4.0,3.0,1.5,-1.0,0.0,0.0,은행,7770,6840,-0.11969111969111969,"16,17년"
376,조광페인트,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,11400,10550,-0.07456140350877193,"16,17년"
377,조광피혁,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,기타제조업,38000,36400,-0.042105263157894736,"16,17년"
378,조비,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,화학,13300,11650,-0.12406015037593984,"16,17년"
379,조선내화,2.0,1.5,1.5,2.0,3.0,3.0,0.0,1.5,1.5,비금속광물,92000,86900,-0.05543478260869565,"16,17년"
380,조선선재,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,기계,65700,71000,0.0806697108066971,"16,17년"
381,조일알미늄,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,철강금속,1770,1270,-0.2824858757062147,"16,17년"
382,조흥,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,음식료품,155500,281000,0.8070739549839229,"16,17년"
383,종근당,2.0,3.0,1.5,3.0,3.0,1.5,1.0,0.0,0.0,의약품,92700,112500,0.21359223300970873,"16,17년"
384,종근당바이오,2.0,1.5,3.0,2.0,1.5,1.5,0.0,0.0,-1.5,의약품,22350,21800,-0.024608501118568233,"16,17년"
385,종근당홀딩스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,의약품,66400,68800,0.03614457831325301,"16,17년"
386,주연테크,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,1335,547,-0.5902621722846442,"16,17년"
387,지엠비코리아,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수장비,4785,7480,0.5632183908045977,"16,17년"
388,지역난방공사,4.0,3.0,3.0,3.0,4.0,4.0,-1.0,1.0,1.0,전기가스업,69000,71800,0.04057971014492753,"16,17년"
389,지투알,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,서비스업,7880,11150,0.4149746192893401,"16,17년"
390,진도,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,유통업,6730,5800,-0.13818722139673106,"16,17년"
391,진양산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,4375,3000,-0.3142857142857143,"16,17년"
392,진양홀딩스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,3475,3110,-0.10503597122302158,"16,17년"
393,진양화학,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,4410,2530,-0.42630385487528344,"16,17년"
394,진원생명과학,,1.5,1.5,2.0,1.5,1.5,,0.0,0.0,의약품,11050,6320,-0.4280542986425339,"16,17년"
395,진흥기업,2.0,1.5,3.0,2.0,3.0,3.0,0.0,1.5,0.0,건설업,1755,1990,0.1339031339031339,"16,17년"
396,참엔지니어링,,1.5,1.5,2.0,1.5,1.5,,0.0,0.0,기계,2880,2640,-0.08333333333333333,"16,17년"
397,천일고속,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,운수창고업,90500,94800,0.04751381215469613,"16,17년"
398,체시스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수장비,2135,1125,-0.47306791569086654,"16,17년"
399,카프로,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,화학,5520,8250,0.4945652173913043,"16,17년"
400,코리아써키트,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,전기전자,8050,16650,1.0683229813664596,"16,17년"
401,코리안리,5.0,1.5,1.5,4.0,1.5,1.5,-1.0,0.0,0.0,보험,11800,11200,-0.05084745762711865,"16,17년"
402,코스맥스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,화학,115500,139000,0.20346320346320346,"16,17년"
403,코스맥스비티아이,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타금융,40300,37050,-0.08064516129032258,"16,17년"
404,코스모신소재,1.0,1.5,3.0,1.0,1.5,3.0,0.0,0.0,0.0,화학,5140,12150,1.3638132295719845,"16,17년"
405,코스모화학,2.0,1.5,3.0,2.0,1.5,3.0,0.0,0.0,0.0,화학,4335,12200,1.8143021914648212,"16,17년"
406,코아스,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,기타제조업,1580,1170,-0.25949367088607594,"16,17년"
407,코오롱,1.0,1.5,1.5,2.0,3.0,1.5,1.0,1.5,0.0,기타금융,50900,76900,0.5108055009823183,"16,17년"
408,코오롱글로벌,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,건설업,13350,9800,-0.26591760299625467,"16,17년"
409,코오롱인더,2.0,1.5,3.0,1.0,3.0,3.0,-1.0,1.5,0.0,화학,74400,75700,0.01747311827956989,"16,17년"
410,코오롱플라스틱,2.0,1.5,4.0,3.0,3.0,3.0,1.0,1.5,-1.0,화학,6920,7480,0.08092485549132948,"16,17년"
411,코웨이,2.0,5.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,서비스업,89600,97300,0.0859375,"16,17년"
412,콤텍시스템,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,서비스업,1475,1555,0.05423728813559322,"16,17년"
413,키움증권,4.0,3.0,1.5,4.0,1.5,1.5,0.0,-1.5,0.0,증권,66500,71700,0.07819548872180451,"16,17년"
414,태경산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,화학,4845,5180,0.06914344685242518,"16,17년"
415,태광산업,1.0,3.0,1.5,1.0,1.5,1.5,0.0,-1.5,0.0,화학,839000,1141000,0.3599523241954708,"16,17년"
416,태림포장,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,종이목재,3060,2300,-0.24836601307189543,"16,17년"
417,태영건설,3.0,3.0,1.5,3.0,1.5,1.5,0.0,-1.5,0.0,건설업,4875,8580,0.76,"16,17년"
418,태원물산,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,운수장비,4200,3530,-0.1595238095238095,"16,17년"
419,태평양물산,2.0,3.0,1.5,3.0,3.0,1.5,1.0,0.0,0.0,섬유의복,2935,3550,0.20954003407155025,"16,17년"
420,텔코웨어,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,서비스업,12100,12200,0.008264462809917356,"16,17년"
421,티에이치엔,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,전기전자,2825,1790,-0.3663716814159292,"16,17년"
422,티웨이홀딩스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,비금속광물,6930,3730,-0.46176046176046176,"16,17년"
423,파미셀,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,의약품,4610,4200,-0.08893709327548807,"16,17년"
424,팜스코,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,음식료품,11750,12050,0.02553191489361702,"16,17년"
425,팬오션,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,운수창고업,3605,5260,0.4590846047156727,"16,17년"
426,퍼스텍,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기계,3430,3460,0.008746355685131196,"16,17년"
427,퍼시스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,기타제조업,33950,33700,-0.007363770250368188,"16,17년"
428,페이퍼코리아,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,종이목재,579,2020,2.488773747841105,"16,17년"
429,평화산업,3.0,3.0,1.5,2.0,1.5,3.0,-1.0,-1.5,1.5,운수장비,1815,1580,-0.12947658402203857,"16,17년"
430,평화홀딩스,2.0,3.0,1.5,3.0,1.5,1.5,1.0,-1.5,0.0,운수장비,3920,3440,-0.12244897959183673,"16,17년"
431,풀무원,4.0,5.0,4.0,5.0,4.0,4.0,1.0,-1.0,0.0,음식료품,118500,118500,0.0,"16,17년"
432,풍산,2.0,1.5,4.0,3.0,1.5,3.0,1.0,0.0,-1.0,철강금속,34800,49050,0.40948275862068967,"16,17년"
433,풍산홀딩스,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,기타금융,46700,54300,0.16274089935760172,"16,17년"
434,하나금융지주,5.0,4.0,1.5,4.0,4.0,3.0,-1.0,0.0,1.5,기타금융,32800,47950,0.46189024390243905,"16,17년"
435,하나투어,1.0,1.5,1.5,3.0,1.5,1.5,2.0,0.0,0.0,서비스업,64500,99800,0.5472868217054263,"16,17년"
436,하이스틸,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,철강금속,21550,21050,-0.02320185614849188,"16,17년"
437,하이트진로,1.0,1.5,3.0,2.0,3.0,3.0,1.0,1.5,0.0,음식료품,22000,26600,0.20909090909090908,"16,17년"
438,하이트진로홀딩스,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,기타금융,11950,10850,-0.09205020920502092,"16,17년"
439,한국가스공사,3.0,1.5,4.0,3.0,3.0,4.0,0.0,1.5,0.0,전기가스업,46350,40850,-0.1186623516720604,"16,17년"
440,한국공항,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,운수창고업,44800,47350,0.056919642857142856,"16,17년"
441,한국금융지주,5.0,1.5,1.5,4.0,1.5,1.5,-1.0,0.0,0.0,기타금융,41100,63300,0.5401459854014599,"16,17년"
442,한국내화,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,비금속광물,3105,3270,0.05314009661835749,"16,17년"
443,한국쉘석유,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,화학,441000,396000,-0.10204081632653061,"16,17년"
