,업종명,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,평가연도,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
이연제약,의약품,260929163000.0,19.79,83.48,2.14,2015,0.08439572253224693,2.275,B이하,B,B이하,B이하,3870000000.0
이월드,서비스업,218042328000.0,72.59,57.94,11.0,2015,0.08622137090130169,1.915,B이하,C,B이하,B이하,0.0
이화산업,유통업,273316937000.0,45.63,68.67,4.44,2015,-0.11278937543335645,1.025,B이하,C,B이하,B이하,0.0
인디에프,섬유의복,167142676000.0,121.46,45.15,-8.44,2015,0.020611765186105233,2.255,B이하,C,B이하,B이하,0.0
인스코비,유통업,48649997000.0,91.69,52.17,-36.7,2015,-0.5710195629552549,4.695,B이하,C,B이하,B이하,0.0
인지컨트롤스,운수장비,472137335000.0,132.98,42.92,11.15,2015,0.09605724863797362,0.5650000000000001,B이하,C,B이하,B이하,2178000000.0
인천도시가스,전기가스업,334171638000.0,109.47,47.74,-23.44,2015,0.032880967127787354,1.12,B이하,B,B이하,B이하,5152000000.0
인터지스,운수창고업,528489692000.0,146.19,40.62,3.82,2015,0.004778387694531717,0.48,B이하,B,B이하,B이하,2821000000.0
인팩,운수장비,189362683000.0,86.88,53.51,2.01,2015,0.09400933317306673,0.9349999999999999,B이하,B,B이하,B이하,1400000000.0
일성건설,건설업,257478729000.0,185.64,35.01,20.31,2015,-0.05330853922804625,0.7100000000000001,B이하,C,B이하,B이하,16000000.0
일성신약,의약품,367028331000.0,15.29,86.74,-1.73,2015,0.09784006802170216,1.13,B이하,B,B이하,B이하,1008000000.0
일신방직,섬유의복,889516557000.0,31.03,76.32,5.29,2015,0.05642242488162264,0.95,B이하,B+,B이하,B이하,5848000000.0
일신석재,유통업,80302650000.0,53.31,65.23,0.61,2015,-0.03347351176974646,1.9849999999999999,B이하,C,B이하,B이하,0.0
일양약품,의약품,430830075000.0,134.83,42.58,0.0,2015,0.12412614107330855,4.08,B이하,B,B이하,B이하,0.0
일정실업,섬유의복,69075803000.0,19.89,83.41,-13.4,2015,0.06493397819745125,0.645,B이하,C,B이하,B이하,1500000000.0
일진전기,전기전자,735434079000.0,128.92,43.68,-7.27,2015,0.03900349272701266,0.8250000000000001,B이하,B,B이하,B이하,2966000000.0
일진홀딩스,서비스업,1075919203000.0,136.08,42.36,-4.38,2015,6.770633148952983,1.925,B이하,C,B이하,B이하,3219000000.0
자화전자,전기전자,399278574000.0,45.24,68.85,-18.03,2015,0.18712891310998062,0.955,B이하,B,B이하,B이하,6588000000.0
전방,섬유의복,519484803000.0,179.43,35.79,-3.23,2015,0.00906764114998268,0.505,B이하,C,B이하,B이하,0.0
제일기획,서비스업,1866861902000.0,133.26,42.87,5.27,2015,0.12489261206318229,4.555,B이하,C,B+,B+,30384000000.0
제주은행,은행,4464601000000.0,1303.87,7.12,-0.66,2015,0.3003540542803488,0.72,B이하,A,B이하,B이하,2213000000.0
조광페인트,화학,240788271000.0,44.99,68.97,-2.22,2015,0.11558613187640064,1.77,B이하,D,B이하,B이하,2625000000.0
조광피혁,기타제조업,196853700000.0,11.15,89.97,-8.22,2015,0.1290697439987593,3.44,B이하,B,B이하,B이하,0.0
조비,화학,86659967000.0,176.68,36.14,7.26,2015,-0.0032665907391038283,1.8900000000000001,B이하,C,B이하,B이하,0.0
