업종명,종목명,2012_E,2012_S,2012_G,2013_E,2013_S,2013_G,Diff_E,Diff_S,Diff_G,2012_종가,2013_종가,등락률,연도
에너지업,한국가스공사,3.0,3.0,3.0,3.0,4.0,3.0,0.0,1.0,0.0,76600,63900,-0.1657963446475195,"12,13년"
에너지업,한진중공업홀딩스,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,6970,9150,0.3127690100430416,"12,13년"
운수 및 창고업,CJ대한통운,2.0,3.0,1.5,3.0,4.0,3.0,1.0,1.0,1.5,113500,92300,-0.186784140969163,"12,13년"
운수 및 창고업,E1,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,62100,76100,0.2254428341384863,"12,13년"
운수 및 창고업,GS글로벌,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,13800,9680,-0.2985507246376812,"12,13년"
운수 및 창고업,KSS해운,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7000,10250,0.4642857142857143,"12,13년"
운수 및 창고업,LS네트웍스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,4320,4820,0.1157407407407407,"12,13년"
운수 및 창고업,SG세계물산,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,649,700,0.0785824345146379,"12,13년"
운수 및 창고업,SK가스,1.0,3.0,1.5,3.0,3.0,1.5,2.0,0.0,0.0,79000,74900,-0.0518987341772151,"12,13년"
운수 및 창고업,SK네트웍스,4.0,4.0,1.5,4.0,3.0,1.5,0.0,-1.0,0.0,9550,6660,-0.3026178010471204,"12,13년"
운수 및 창고업,STX,2.0,3.0,3.0,2.0,3.0,3.0,0.0,0.0,0.0,8000,1785,-0.776875,"12,13년"
운수 및 창고업,경방,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,101500,115500,0.1379310344827586,"12,13년"
운수 및 창고업,광주신세계,2.0,3.0,1.5,2.0,3.0,1.5,0.0,0.0,0.0,236000,262000,0.1101694915254237,"12,13년"
운수 및 창고업,국동,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,1460,1605,0.0993150684931506,"12,13년"
운수 및 창고업,국보,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,14100,11800,-0.1631205673758865,"12,13년"
운수 및 창고업,남성,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,7400,7830,0.0581081081081081,"12,13년"
운수 및 창고업,대구백화점,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,13600,16400,0.2058823529411764,"12,13년"
운수 및 창고업,대성산업,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,18050,4300,-0.7617728531855956,"12,13년"
운수 및 창고업,대한항공,2.0,4.0,5.0,3.0,4.0,4.0,1.0,0.0,-1.0,48950,34050,-0.3043922369765066,"12,13년"
운수 및 창고업,동방,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,3950,2570,-0.3493670886075949,"12,13년"
운수 및 창고업,동양고속,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,22300,24050,0.0784753363228699,"12,13년"
운수 및 창고업,롯데쇼핑,4.0,5.0,4.0,3.0,3.0,4.0,-1.0,-2.0,0.0,337500,402500,0.1925925925925926,"12,13년"
운수 및 창고업,모나미,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,4790,2250,-0.5302713987473904,"12,13년"
운수 및 창고업,삼성물산,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,59300,63000,0.0623946037099494,"12,13년"
운수 및 창고업,삼영무역,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,10600,16950,0.5990566037735849,"12,13년"
운수 및 창고업,세기상사,1.0,1.5,,2.0,1.5,1.5,1.0,0.0,,31100,28250,-0.0916398713826366,"12,13년"
운수 및 창고업,세방,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,17800,19100,0.0730337078651685,"12,13년"
운수 및 창고업,세우글로벌,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1515,1285,-0.1518151815181518,"12,13년"
운수 및 창고업,세이브존I&C,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,2670,4680,0.7528089887640449,"12,13년"
운수 및 창고업,신성통상,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,1270,1100,-0.1338582677165354,"12,13년"
운수 및 창고업,신세계,3.0,3.0,1.5,3.0,4.0,3.0,0.0,1.0,1.5,195000,267500,0.3717948717948718,"12,13년"
운수 및 창고업,신세계인터내셔날,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,85600,90200,0.0537383177570093,"12,13년"
운수 및 창고업,신흥,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7480,6900,-0.0775401069518716,"12,13년"
운수 및 창고업,아시아나항공,2.0,3.0,4.0,3.0,3.0,4.0,1.0,0.0,0.0,6300,5040,-0.2,"12,13년"
운수 및 창고업,아이마켓코리아,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25900,25250,-0.025096525096525,"12,13년"
운수 및 창고업,영원무역,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,33800,35900,0.0621301775147929,"12,13년"
운수 및 창고업,윌비스,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2915,1080,-0.6295025728987993,"12,13년"
운수 및 창고업,유니퀘스트,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6580,13600,1.0668693009118542,"12,13년"
운수 및 창고업,이마트,3.0,3.0,1.5,3.0,3.0,3.0,0.0,0.0,1.5,236500,254000,0.0739957716701902,"12,13년"
운수 및 창고업,이화산업,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,7510,7970,0.0612516644474034,"12,13년"
운수 및 창고업,일신석재,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,843,1190,0.4116251482799525,"12,13년"
운수 및 창고업,진도,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,4380,4400,0.0045662100456621,"12,13년"
운수 및 창고업,천일고속,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,29900,34100,0.1404682274247491,"12,13년"
운수 및 창고업,한국공항,1.0,1.5,1.5,1.0,3.0,1.5,0.0,1.5,0.0,28500,21700,-0.2385964912280701,"12,13년"
운수 및 창고업,한국화장품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,2970,1770,-0.404040404040404,"12,13년"
운수 및 창고업,한샘,2.0,1.5,1.5,3.0,1.5,1.5,1.0,0.0,0.0,18350,43000,1.3433242506811989,"12,13년"
운수 및 창고업,한익스프레스,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,17700,24650,0.3926553672316384,"12,13년"
운수 및 창고업,한진,1.0,1.5,3.0,2.0,1.5,3.0,1.0,0.0,0.0,23050,18350,-0.2039045553145336,"12,13년"
운수 및 창고업,한창,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,626,502,-0.1980830670926517,"12,13년"
운수 및 창고업,현대그린푸드,2.0,3.0,1.5,2.0,3.0,1.5,0.0,0.0,0.0,18100,16900,-0.0662983425414364,"12,13년"
운수 및 창고업,현대글로비스,2.0,3.0,1.5,3.0,3.0,1.5,1.0,0.0,0.0,227000,235500,0.0374449339207048,"12,13년"
운수 및 창고업,현대백화점,3.0,3.0,1.5,2.0,3.0,1.5,-1.0,0.0,0.0,135500,169000,0.2472324723247232,"12,13년"
운수 및 창고업,현대홈쇼핑,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,129500,168000,0.2972972972972973,"12,13년"
운수 및 창고업,혜인,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,3715,3595,-0.0323014804845222,"12,13년"
운수 및 창고업,호텔신라,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,46000,68500,0.4891304347826087,"12,13년"
운수 및 창고업,흥아해운,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1095,1595,0.45662100456621,"12,13년"
의약품,JW중외제약,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,14000,15400,0.1,"12,13년"
의약품,광동제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,5260,7290,0.3859315589353612,"12,13년"
의약품,국제약품,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,2810,2120,-0.2455516014234875,"12,13년"
의약품,녹십자,2.0,1.5,3.0,1.0,1.5,1.5,-1.0,0.0,-1.5,158000,131000,-0.170886075949367,"12,13년"
의약품,대웅,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,20900,37350,0.7870813397129187,"12,13년"
의약품,대웅제약,2.0,3.0,3.0,2.0,1.5,1.5,0.0,-1.5,-1.5,48100,83600,0.738045738045738,"12,13년"
의약품,대원제약,2.0,3.0,1.5,2.0,1.5,1.5,0.0,-1.5,0.0,10850,10550,-0.0276497695852534,"12,13년"
의약품,동성제약,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,4790,4290,-0.104384133611691,"12,13년"
의약품,동화약품,3.0,1.5,1.5,2.0,1.5,1.5,-1.0,0.0,0.0,6500,5570,-0.143076923076923,"12,13년"
의약품,명문제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,3420,2485,-0.2733918128654971,"12,13년"
의약품,부광약품,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,16650,14450,-0.1321321321321321,"12,13년"
의약품,삼성제약,2.0,,1.5,2.0,1.5,1.5,0.0,,0.0,2355,2055,-0.1273885350318471,"12,13년"
의약품,삼일제약,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5570,5450,-0.0215439856373429,"12,13년"
의약품,삼진제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,12150,13500,0.1111111111111111,"12,13년"
의약품,신풍제약,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,5100,5100,0.0,"12,13년"
의약품,영진약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,1900,1770,-0.0684210526315789,"12,13년"
의약품,오리엔트바이오,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,814,605,-0.2567567567567567,"12,13년"
의약품,유유제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,7540,6950,-0.0782493368700265,"12,13년"
의약품,유한양행,3.0,1.5,3.0,2.0,1.5,3.0,-1.0,0.0,0.0,188500,187000,-0.0079575596816976,"12,13년"
의약품,이연제약,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,15400,21000,0.3636363636363636,"12,13년"
의약품,일양약품,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,25250,28250,0.1188118811881188,"12,13년"
의약품,종근당바이오,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,13800,16250,0.1775362318840579,"12,13년"
의약품,파미셀,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5830,4500,-0.2281303602058319,"12,13년"
의약품,한미약품,2.0,1.5,1.5,2.0,3.0,3.0,0.0,1.5,1.5,110500,129000,0.167420814479638,"12,13년"
의약품,한올바이오파마,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,8800,6220,-0.2931818181818181,"12,13년"
의약품,현대약품,3.0,3.0,3.0,2.0,1.5,1.5,-1.0,-1.5,-1.5,1750,1990,0.1371428571428571,"12,13년"
의약품,환인제약,3.0,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,9600,11000,0.1458333333333333,"12,13년"
정보통신업,LG유플러스,3.0,3.0,1.5,4.0,1.5,1.5,1.0,-1.5,0.0,6970,12150,0.7431850789096126,"12,13년"
정보통신업,SK텔레콤,3.0,4.0,5.0,3.0,4.0,4.0,0.0,0.0,-1.0,153500,227000,0.4788273615635179,"12,13년"
제조업,BYC,1.0,1.5,1.5,2.0,1.5,1.5,1.0,0.0,0.0,185000,188500,0.0189189189189189,"12,13년"
제조업,CJ씨푸드,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,3095,2545,-0.1777059773828756,"12,13년"
제조업,CJ제일제당,3.0,1.5,3.0,2.0,4.0,4.0,-1.0,2.5,1.0,342500,257500,-0.2481751824817518,"12,13년"
제조업,DRB동일,2.0,1.5,1.5,1.0,1.5,1.5,-1.0,0.0,0.0,5810,7760,0.3356282271944922,"12,13년"
제조업,DSR제강,1.0,1.5,1.5,1.0,1.5,1.5,0.0,0.0,0.0,2940,3545,0.20578231292517,"12,13년"
제조업,F&F,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,6100,6600,0.081967213114754,"12,13년"
제조업,KC코트렐,2.0,1.5,1.5,2.0,1.5,1.5,0.0,0.0,0.0,14000,11250,-0.1964285714285714,"12,13년"
