,업종명,종목명,2021_E,2021_S,2021_G,2022_E,2022_S,2022_G,Diff_E,Diff_S,Diff_G,2021_종가,2022_종가,등락률,연도
62,금융 및 보험업,롯데지주,4.0,6.0,5.0,5.0,6.0,4.0,1.0,0.0,-1.0,32700,32600,-0.0030581039755351,"21,22년"
63,금융 및 보험업,메리츠금융지주,1.0,4.0,5.0,2.0,2.0,4.0,1.0,-2.0,-1.0,33250,21700,-0.3473684210526316,"21,22년"
64,금융 및 보험업,메리츠증권,2.0,5.0,4.0,2.0,5.0,4.0,0.0,0.0,0.0,4660,3700,-0.2060085836909871,"21,22년"
65,금융 및 보험업,메리츠화재,1.0,4.0,4.0,2.0,3.0,4.0,1.0,-1.0,0.0,27700,31450,0.1353790613718411,"21,22년"
66,금융 및 보험업,미래에셋생명,2.0,6.0,4.0,3.0,5.0,4.0,1.0,-1.0,0.0,4275,2650,-0.3801169590643274,"21,22년"
67,금융 및 보험업,미래에셋증권,3.0,2.0,3.0,5.0,6.0,4.0,2.0,4.0,1.0,8680,6350,-0.2684331797235023,"21,22년"
68,금융 및 보험업,미원홀딩스,4.0,5.0,5.0,2.0,2.0,3.0,-2.0,-3.0,-2.0,139000,115000,-0.1726618705035971,"21,22년"
69,금융 및 보험업,부국증권,1.0,3.0,2.0,1.0,2.0,3.0,0.0,-1.0,1.0,24650,18050,-0.2677484787018255,"21,22년"
70,금융 및 보험업,삼성생명,5.0,6.0,4.0,5.0,6.0,4.0,0.0,0.0,0.0,67300,67400,0.0014858841010401,"21,22년"
71,금융 및 보험업,삼성증권,5.0,6.0,4.0,5.0,6.0,4.0,0.0,0.0,0.0,47350,31750,-0.3294614572333685,"21,22년"
72,금융 및 보험업,삼성카드,6.0,6.0,5.0,5.0,6.0,5.0,-1.0,0.0,0.0,34250,30900,-0.0978102189781021,"21,22년"
73,금융 및 보험업,삼양홀딩스,5.0,5.0,3.0,4.0,5.0,3.0,-1.0,0.0,0.0,103000,61900,-0.3990291262135922,"21,22년"
74,금융 및 보험업,상상인증권,1.0,3.0,1.0,1.0,2.0,1.0,0.0,-1.0,0.0,1250,824,-0.3408,"21,22년"
