회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),배당금(*)(IFRS)(천원),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),PER(최저)(IFRS),PBR(최고)(IFRS),매출액(요약)(백만원)
(주)인팩,023810,2022/12,411164185,1800000,198.67,33.48,16.61,39638054,9.48,1.6,236143
(주)일신석재,007110,2022/12,,0,,,,,33.65,3.59,137671
(주)잇츠한불,226320,2022/12,486153356,2642503,6.63,93.78,-6.75,7091108,0,1.83,41790
(주)제이에스코퍼레이션,194370,2022/12,533768141,6319346,108.93,47.86,-1.21,123851570,8.81,2.27,315833
(주)제일기획,030000,2022/12,2751445128,116470534,125.26,44.39,27.89,184163143,37.94,5.4,1280523
(주)제주은행,006220,2022/12,7320304000,3213000,1302.75,7.13,34.71,114388000,5.77,1.06,275373
(주)제주항공,089590,2022/12,1663644039,0,442.57,18.43,157.25,138265646,0,4.28,695616
(주)조비,001550,2022/12,,0,,,,,8.48,2.33,148555
(주)조흥,002600,2022/12,433755477,3900000,181.32,35.55,0,-83043403,8.31,0.95,319395
(주)종근당,185750,2022/12,1124882798,11608529,81.06,55.23,10.78,67734468,10.55,2.33,1472344
(주)종근당바이오,063160,2022/12,312590995,0,111.5,47.28,9.7,-3204563,0,1.62,155948
(주)종근당홀딩스,001630,2022/12,1376372970,6808700,72.36,58.02,-1.84,-46501658,15.91,1.12,27106
(주)주연테크,044380,2022/12,53242325,0,28.16,78.03,-24.45,3615906,0,2.08,66668
(주)지누스,013890,2022/12,1114820891,9723000,78.04,56.17,3.18,-18459147,203.64,3.17,269752
(주)지에스,078930,2022/12,33922242000,236777000,105.74,48.6,42.18,2735369000,7.87,0.88,563402
(주)지에스글로벌,001250,2022/12,1419412958,0,248.99,28.65,31.75,204842866,3.94,1.38,4351245
(주)지에스리테일,007070,2022/12,9832423125,43937000,122.45,44.95,14.96,712510440,39.41,0.82,10569338
(주)지투알,035000,2022/12,544793546,6483058,208.55,32.41,15.69,15745943,10.99,1.76,30072
(주)진도,088790,2022/12,129200780,872567,24.02,80.63,7.56,8582285,6.12,0.49,63417
(주)진양홀딩스,100250,2022/12,597085262,8027804,48.3,67.43,4.34,8233891,0,1.22,14660
(주)진에어,272450,2022/12,,0,,,,,0,10.37,593428
(주)천일고속,000650,2022/12,,0,,,,,0,3.89,37703
(주)청호ICT,012600,2022/12,29966720,0,48.19,67.48,23.98,-4019830,0,2.19,21768
(주)카카오,035720,2022/12,22963491576,26201944,69.7,58.93,15.81,678376491,12.81,7.65,2456591
(주)카카오뱅크,323410,2022/12,,38138000,,,,,28.59,5.04,1605801
(주)카카오페이,377300,2022/12,3331529858,0,74.59,57.28,13.74,-56865818,44.61,12.43,482769
(주)카프로,006380,2022/12,,0,,,,,0,7.98,427187
(주)케이씨,029460,2022/12,1004623912,4259213,27.04,78.71,54.94,108043804,4.02,0.6,211779
(주)케이씨씨,002380,2022/12,13118486308,51479197,136.32,42.32,15.32,384566371,246.28,0.76,2701706
(주)케이씨씨글라스,344820,2022/12,2209564786,22320666,53.16,65.29,22.8,-71402472,6.1,0.79,1435825
(주)케이씨텍,281820,2022/12,,5072515,,,,,4.9,1.23,378193
(주)케이씨티시,009070,2022/12,630078627,1794345,143.84,41.01,32.48,68674236,9.36,1.07,628065
(주)케이에스에스해운,044450,2022/12,1659172643,7902134,308.38,24.49,37.46,112623503,4.77,0.75,403836
(주)케이에이치필룩스,033180,2022/12,1246019564,0,159.83,38.49,36.69,-33446194,0,1.38,49283
(주)케이이씨,092220,2022/12,401136513,8685788,31.67,75.95,-4.23,6745931,12.52,2.09,246961
(주)케이티,030200,2022/12,40980681000,501844000,122.54,44.94,3.02,3597065000,10.26,0.82,18289243
(주)케이티스카이라이프,053210,2022/12,1361298311,16654336,58.75,62.99,35.51,176406900,10.66,0.66,704927
(주)케이티씨에스,058850,2022/12,416146080,4552647,117.22,46.04,6.6,19708133,5.79,0.72,591581
(주)케이티아이에스,058860,2022/12,,3674374,,,,,4.55,0.55,535783
(주)케이티앤지,033780,2022/12,12301715784,581400000,31.45,76.08,11.92,887886607,10.98,1.87,3694358
(주)코리아써키트,007810,2022/12,1293448547,0,72.09,58.11,12.13,152598652,5.98,2.15,804573
(주)코아스,071950,2022/12,76246125,0,326.67,23.44,-11.63,-4504648,0,3.01,94196
(주)코오롱,002020,2022/12,4477491140,7590368,287.68,25.79,4.61,239093466,11.29,0.97,70588
(주)콘텐트리중앙,036420,2022/12,2588133968,0,274.17,26.73,25.83,50142139,2.42,2.3,28961
(주)콤텍시스템,031820,2022/12,558409432,0,179.37,35.79,85.58,41760814,3.81,0.83,212340
(주)큐로,015590,2022/12,,0,,,,,6.33,1.11,105674
(주)크라운제과,264900,2022/12,,3198823,,,,,3.81,1.06,413638
(주)크라운해태홀딩스,005740,2022/12,1153770087,1498189,122.75,44.89,5.48,43294920,0,0.68,17615
(주)크래프톤,259960,2022/12,6030311641,0,17.94,84.79,-1.71,512702525,16.57,4.57,1767776
(주)키다리스튜디오,020120,2022/12,378769211,1848210,37.92,72.5,42.24,9896437,21.23,2.96,85237
(주)태경비케이,014580,2022/12,361240179,3585803,36.34,73.34,76.81,8632487,5.59,1.53,285440
(주)태영건설,009410,2022/12,4323308266,9049523,483.55,17.14,-5.33,-144532291,2,0.56,2518359
(주)테이팩스,055490,2022/12,197584861,4245885,33.53,74.89,17.65,41588760,11.78,4.87,179754
(주)토니모리,214420,2022/12,199062054,0,104.41,48.92,10.55,8375459,18.08,1.59,91544
(주)티비에이치글로벌,084870,2022/12,112327632,0,86.65,53.58,0,-7881679,6.58,0.83,203141
(주)티에이치엔,019180,2022/12,371353958,900000,306.14,24.62,16.62,29879210,7.58,0.81,393289
(주)티와이홀딩스,363280,2022/12,2282963063,5515880,47.63,67.73,19.79,81020666,13.2,1.75,49706
(주)티웨이항공,091810,2022/12,1042495891,0,1654.96,5.7,145.26,165994529,0,12.37,525950
(주)티웨이홀딩스,004870,2022/12,,0,,,,,0.87,0.66,11470
(주)팜스코,036580,2022/12,1223174230,1750942,340.23,22.72,23.73,-82145862,0,1.35,1664343
(주)퍼시스,016800,2022/12,544804538,9856263,15.19,86.81,0,26431380,30.63,1.04,373268
(주)포스코인터내셔널,047050,2022/12,12516336931,123354631,184.58,35.14,11.9,1233286799,7.42,1.74,32566135
