회사명,거래소코드,회계년도,자산(*)(IFRS연결)(천원),[공통]   배당금(*)(요약)(IFRS),부채비율(IFRS연결),자기자본구성비율(IFRS연결),매출액증가율(IFRS연결),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[공통]PBR(최고)(IFRS),[공통]PBR(최저)(IFRS),[공통]매출액(요약)
(주)영원무역홀딩스,009970,2015/12,2648231029,5802,53.4,65.19,14.36,299344826,3.72,1.9,18448
(주)영풍,000670,2015/12,3987888361,16771,32.78,75.31,-6.48,214716684,1.84,1.2,1068399
(주)영흥,012160,2015/12,302807739,2268,73.87,57.52,-1.77,5053253,1.43,0.86,146577
(주)예스코홀딩스,015360,2015/12,1264603090,6313,95.35,51.19,-13.7,54594295,0.52,0.34,1031912
(주)오뚜기,007310,2015/12,1484303072,17560,56.39,63.94,5.69,111458299,6.69,2.14,1829762
(주)오리온홀딩스,001800,2015/12,2998838793,31508,96.49,50.89,-3.27,482078533,10.41,6.33,707438
(주)와이지플러스,037270,2015/12,116473239,0,11.94,89.33,185.41,-5896719,4.89,1.55,5459
(주)와이투솔루션,011690,2015/12,97047072,0,150.02,40,-6.71,14899285,1.93,1.02,127936
(주)우성,006980,2015/12,256515295,643,54.3,64.81,-7.04,5192564,0.95,0.55,278477
(주)우신시스템,017370,2015/12,256997922,446,132.95,42.93,2.06,3152057,0.97,0.42,115052
(주)우진,105840,2015/12,195233366,3472,52.45,65.59,0.78,-1548297,1.5,1.15,52171
(주)우진플라임,049800,2015/12,294346210,0,347.48,22.35,-3.48,-6332157,0.85,0.5,180336
(주)웅진,016880,2015/12,1203683619,0,236.73,29.7,-1.39,77932013,0.58,0.28,165195
(주)웅진씽크빅,095720,2015/12,494211834,0,90.63,52.46,1.17,-18017170,2.07,1.27,639576
(주)원림,005820,2015/12,133313044,490,30.63,76.55,-3.2,-284488,1.12,0.56,52596
(주)위스컴,024070,2015/12,130630753,1503,10.79,90.26,-1.27,4538819,0.79,0.63,131174
(주)윌비스,008600,2015/12,305011416,1009,127.26,44,22.65,1732507,1.11,0.43,280792
(주)유니드,014830,2015/12,1036809019,9779,70.76,58.56,5.84,-3550004,1.35,0.73,514006
(주)유니온,000910,2015/12,163957108,1013,33.66,74.82,-14.75,6957073,0.88,0.47,100207
(주)유니켐,011330,2015/06,,0,,,,,5.47,2.19,8678
(주)유수홀딩스,000700,2015/12,464546229,1872,73.92,57.5,7.39,49068277,2.08,1.05,16049
(주)유유제약,000220,2015/03,101400550,1202,41.84,70.5,1.33,1363384,1.41,0.75,53061
(주)유한양행,000100,2015/12,1880328618,20546,37.86,72.54,10.93,126234691,2.78,1.48,1120937
(주)이노션,214320,2015/12,1430474983,18000,129.4,43.59,32.65,68288986,1.59,1.04,421333
(주)이마트,139480,2015/12,14493751838,41796,100.21,49.95,3.7,733913333,1.03,0.76,11148886
(주)이수페타시스,007660,2015/12,506297787,3586,155.55,39.13,3.2,48834284,1.47,0.84,315263
(주)이수화학,005950,2015/12,1028558559,4379,193.19,34.11,-20.54,56542110,0.38,0.23,1030109
(주)이스타코,015020,2015/12,115417616,0,123.44,44.75,1.35,-55305319,2.65,1.2,6668
(주)이아이디,093230,2015/12,78932300,0,109.13,47.82,0,-4015739,4.11,0.89,37542
(주)이엔플러스,074610,2015/12,14184413,0,67.99,59.53,8.13,355591,9.83,1.41,18075
(주)이원,017940,2015/12,3509763920,15033,183.96,35.22,-31.96,186209653,0.45,0.35,3822716
(주)이월드,084680,2015/12,,0,,,,,2.93,0.9,24276
(주)인디에프,014990,2015/12,167142676,0,121.46,45.15,-8.44,3534691,3.5,1.01,171489
(주)인바이오젠,101140,2015/12,,0,,,,,6.99,2.53,8865
(주)인스코비,006490,2015/12,48649997,0,91.69,52.17,-36.7,-5487498,6.27,3.12,9610
(주)인팩,023810,2015/12,189362683,1400,86.88,53.51,2.01,13295834,1.18,0.69,141431
(주)일신석재,007110,2015/12,,0,,,,,2.58,1.39,39678
(주)잇츠한불,226320,2015/12,388023925,16729,22.48,81.65,0,69256086,4.69,3.82,309562
(주)제일기획,030000,2015/12,1866861902,30384,133.26,42.87,5.27,102393208,5.59,3.52,819850
(주)제주은행,006220,2015/12,4464601000,2213,1303.87,7.12,-0.66,50221000,0.95,0.49,167206
(주)제주항공,089590,2015/12,,10363,,,,,5.63,4,608059
(주)조비,001550,2015/12,,0,,,,,2.47,1.31,58828
(주)조흥,002600,2015/12,,1500,,,,,1.87,0.56,113154
(주)종근당,185750,2015/12,,5642,,,,,3.69,1.74,592493
(주)종근당바이오,063160,2015/12,,1795,,,,,1.78,0.75,106691
(주)종근당홀딩스,001630,2015/12,501005739,5032,31.41,76.1,22.29,8228338,2.65,0.93,14136
(주)주연테크,044380,2015/12,,0,,,,,3.59,1.04,52012
(주)지에스,078930,2015/12,19023008000,142102,134.91,42.57,13.21,652985000,1.1,0.76,178162
(주)지에스글로벌,001250,2015/12,800714753,0,294.98,25.32,-18.34,-1432148,1.07,0.62,1926450
(주)지에스리테일,007070,2015/12,4735505772,65450,119.34,45.59,26.41,444016125,3.41,1.18,6189348
(주)지투알,035000,2015/12,482838658,3242,257.86,27.94,24.3,17886170,2.23,1.25,21115
(주)진도,088790,2015/12,150834580,1870,69.54,58.98,0.65,13762086,1,0.43,121851
(주)진양홀딩스,100250,2015/12,536626201,5480,45.72,68.63,-4.63,16977825,1.55,1.12,11903
(주)천일고속,000650,2015/12,,8562,,,,,5.09,1.73,58862
(주)청호ICT,012600,2015/12,74700733,0,180.42,35.66,-11.31,1254984,2.1,0.72,37871
(주)카프로,006380,2015/12,,0,,,,,0.76,0.34,214970
(주)케이씨,029460,2015/12,403859116,4810,33.35,74.99,22,49147547,2.04,0.98,291168
(주)케이씨씨,002380,2015/12,8668411154,78668,47.71,67.7,0.43,95413810,1.13,0.65,3067640
(주)케이씨티시,009070,2015/12,363554474,1047,111.34,47.32,0.27,14044650,1.04,0.59,245333
(주)케이에스에스해운,044450,2015/12,545679903,2901,157.24,38.87,0,53978607,1.06,0.64,143481
(주)케이에이치필룩스,033180,2015/12,104529556,0,55.76,64.2,-8.26,8263224,2.2,1.15,49850
(주)케이이씨,092220,2015/12,340459280,0,125.49,44.35,-4.93,6706278,0.68,0.37,201253
