종목명,업종명,평가연도,총자산규모(Size),부채비율(DEB),자기자본비율(DEB),매출액증가율,현금흐름(CF),PBR,ESG,E,S,G,배당지급(DV)
광전자,전기전자,2011,350230397000.0,54.0,64.94,15.28,0.0611204343870117,1.02,2.0,2.0,2.0,2.5,0.0
광주신세계,유통업,2011,380753715000.0,22.74,81.47,5.69,0.2641354695055871,0.91,4.0,4.0,4.0,2.5,2000000.0
교보증권,증권,2011,4586430100000.0,727.7,12.08,162.71,0.2590750361469546,0.59,4.0,2.0,2.5,2.0,3568000.0
국도화학,화학,2011,567444580000.0,79.85,55.6,9.39,0.1180218738134706,1.13,2.5,3.0,2.5,2.5,4648000.0
국동,유통업,2011,68162305000.0,1069.25,8.55,1.4,-0.0096254832812172,1.755,2.5,3.0,2.5,2.0,0.0
국보,운수창고업,2011,98869465000.0,186.86,34.86,10.01,0.0274708930307256,0.535,2.5,3.0,2.5,2.5,50000.0
국제약품,의약품,2011,142910369000.0,93.46,51.69,0.0,-0.0131691214548999,0.61,2.5,3.0,2.5,2.5,1046000.0
극동유화,화학,2011,195932757000.0,111.54,47.27,27.49,-0.0259957951506394,0.64,2.5,3.0,2.5,2.5,2441000.0
금강공업,철강금속,2011,431242593000.0,123.63,44.72,8.13,0.123683612104939,0.39,2.5,3.0,2.5,2.0,1124000.0
금양,화학,2011,130817841000.0,189.58,34.53,6.9,-0.0068214607754734,0.87,2.0,3.0,2.0,2.0,840000.0
금호전기,전기전자,2011,549343934000.0,103.37,49.17,-17.14,-0.0595653139687278,0.83,2.5,3.0,2.5,2.5,2663000.0
깨끗한나라,종이목재,2011,442025037000.0,322.33,23.68,13.87,0.05763145054272,1.185,2.5,3.0,2.5,4.0,0.0
남광토건,건설업,2011,883710234000.0,0.0,0.0,-2.51,0.0728043346441596,0.0,2.5,2.0,2.5,2.5,0.0
남선알미늄,철강금속,2011,259574975000.0,249.67,28.6,11.64,-0.006926497382701,2.33,2.0,2.0,2.0,2.5,0.0
남성,유통업,2011,222934371000.0,157.95,38.77,-14.28,0.0577269615301021,0.335,2.0,2.0,2.0,2.0,839000.0
남양유업,음식료품,2011,1012073856000.0,23.58,80.92,17.18,-0.0022315848627151,0.855,2.0,3.0,2.0,2.0,857000.0
남해화학,화학,2011,631030361000.0,71.86,58.19,32.94,-0.0132861152169191,1.93,2.5,3.0,2.5,2.5,882000.0
넥센,화학,2011,521959112000.0,63.37,61.21,12.82,0.0762562029981157,0.8700000000000001,2.5,3.0,2.5,2.0,1074000.0
넥센타이어,화학,2011,1902240724000.0,236.65,29.7,24.49,-0.0120846818695057,2.86,2.5,2.0,2.5,2.5,6027000.0
노루페인트,화학,2011,490240264000.0,118.78,45.71,19.61,0.0699030782595663,0.315,2.5,3.0,2.5,2.5,3069000.0
노루홀딩스,서비스업,2011,787102842000.0,116.98,46.09,16.97,1.368888098817602,0.535,2.0,3.0,2.0,2.0,4170000.0
녹십자,의약품,2011,860353832000.0,36.5,73.26,0.0,0.0784921401241439,2.585,2.5,3.0,2.5,2.5,15166000.0
녹십자홀딩스,서비스업,2011,4603216704000.0,413.89,19.46,-2.95,3.415685032193573,8.11,2.5,3.0,2.5,2.0,10954000.0
농심,음식료품,2011,2270287656000.0,49.44,66.92,4.23,0.0612590179257375,1.015,2.5,3.0,2.5,2.5,23131000.0
농심홀딩스,서비스업,2011,989299514000.0,41.39,70.72,7.46,0.675851135790005,0.52,2.5,3.0,2.5,2.0,9276000.0
다우기술,서비스업,2011,4235093248000.0,292.92,25.45,2.61,-0.3716729363464396,1.095,2.5,2.0,2.5,2.0,5550000.0
대교,서비스업,2011,858490568000.0,33.35,74.99,3.16,0.0493449431503016,1.11,2.5,5.0,2.5,2.0,14234000.0
대구백화점,유통업,2011,504984223000.0,32.86,75.27,9.28,0.2368542500628088,0.335,2.5,4.0,2.5,2.5,3159000.0
대림통상,기계,2011,267062895000.0,80.77,55.32,1.77,0.033921028197234,0.47,2.5,2.0,2.5,2.5,1827000.0
대상,음식료품,2011,1565601613000.0,186.17,34.94,21.22,0.0216212182670418,0.83,2.5,3.0,2.5,2.5,3616000.0
대상홀딩스,서비스업,2011,576988559000.0,38.99,71.95,140.74,1.7686653008962867,0.365,2.0,3.0,2.0,2.0,5578000.0
대성홀딩스,서비스업,2011,941567070000.0,105.3,48.71,20.73,0.9035404169403294,0.835,2.0,3.0,2.0,2.0,3218000.0
대신증권,증권,2011,9561512936000.0,463.71,17.74,28.28,0.0793882242860789,0.84,2.5,5.0,2.5,2.0,59768000.0
대양금속,철강금속,2011,213532161000.0,600.95,14.27,-32.13,0.0556850319823583,1.88,2.0,2.0,2.0,2.0,0.0
대영포장,종이목재,2011,225413474000.0,126.19,44.21,35.31,-0.016720763117726,0.415,2.5,2.0,2.5,2.5,0.0
대우건설,건설업,2011,9468578921000.0,177.49,36.04,4.56,-0.0151274593763474,1.49,2.5,3.0,2.5,2.5,0.0
대우조선해양,운수장비,2011,16530738032000.0,287.28,25.82,1.29,0.0001848783088582,1.53,4.0,4.0,4.0,5.0,0.0
대웅,서비스업,2011,476954187000.0,41.91,70.47,0.0,0.2287698159671071,0.675,2.5,3.0,2.5,2.0,4499000.0
대웅제약,의약품,2011,498461064000.0,37.54,72.71,0.0,0.1115455484594059,1.225,4.0,3.0,2.5,2.0,7783000.0
대원강업,운수장비,2011,955647662000.0,134.75,42.6,20.91,0.0492262982121159,1.21,2.5,2.0,2.5,2.5,6704000.0
대원전선,전기전자,2011,216443383000.0,218.57,31.39,0.0,0.0636605795835153,0.76,2.0,2.0,2.0,2.5,0.0
대원제약,의약품,2011,140388079000.0,35.1,74.02,-4.02,0.1300142247098144,0.8500000000000001,2.5,4.0,2.5,2.0,1276000.0
대원화성,화학,2011,108431492000.0,182.14,35.44,12.29,-0.0022469374708433,0.9,2.0,3.0,2.0,2.5,0.0
대유에이텍,운수장비,2011,362524758000.0,383.91,20.66,68.41,-0.0568582445758879,2.48,2.5,2.0,2.5,2.5,1277000.0
대창,철강금속,2011,485259912000.0,167.75,37.35,6.58,0.0120216835259945,0.975,2.5,2.0,2.5,2.5,0.0
대창단조,운수장비,2011,148832447000.0,77.83,56.23,29.25,0.0744565269468161,1.095,2.0,2.0,2.0,2.5,2000000.0
대한방직,섬유의복,2011,272312547000.0,214.47,31.8,-5.23,-0.006997500550578,0.35,2.0,3.0,2.0,2.0,0.0
대한유화,화학,2011,1271667971000.0,65.44,60.45,10.59,0.0149876026151648,1.04,2.5,3.0,2.5,2.5,9264000.0
대한전선,전기전자,2011,3522892708000.0,985.62,9.21,2.1,-0.0046406463323817,2.485,2.0,3.0,2.0,2.5,0.0
대한제강,철강금속,2011,794943509000.0,141.34,41.44,12.73,-0.0044711635529915,0.605,4.0,3.0,2.5,2.5,2205000.0
대한제당,음식료품,2011,1595832317000.0,286.17,25.9,6.76,0.0021043752311427,0.81,2.5,3.0,2.5,2.0,2755000.0
대한제분,음식료품,2011,845150369000.0,51.24,66.12,3.41,0.0220530957255767,0.49,2.5,3.0,2.5,2.0,5339000.0
대한항공,운수창고업,2011,22388342727000.0,708.55,12.37,5.4,0.1715528587965963,2.3,5.0,4.0,5.0,5.0,0.0
대한화섬,화학,2011,467635475000.0,34.11,74.56,33.41,0.0091436576233891,0.38,2.5,2.0,2.5,2.5,842000.0
대현,섬유의복,2011,173743262000.0,81.65,55.05,6.03,-0.0131761836807502,1.2599999999999998,2.0,4.0,2.0,2.0,974000.0
대호에이엘,철강금속,2011,133330219000.0,223.24,30.94,7.33,0.0250904046390554,2.145,2.0,3.0,2.0,2.5,0.0
더존비즈온,서비스업,2011,167409573000.0,158.94,38.62,-1.45,0.2629960402911498,6.1850000000000005,2.5,3.0,2.5,2.0,0.0
덕성,화학,2011,89763557000.0,57.61,63.45,-18.16,-0.0521709255394919,0.855,2.0,3.0,2.0,2.0,317000.0
덕양산업,운수장비,2011,254048937000.0,272.5,26.85,39.98,0.0277711951785341,1.02,2.0,2.0,2.0,2.0,16002000.0
동국제강,철강금속,2011,10152885174000.0,222.55,31.0,8.43,-0.0369156843191668,0.765,2.5,4.0,2.5,2.5,45434000.0
동남합성,화학,2011,62255155000.0,40.66,71.09,19.76,-0.0686785146775947,0.88,2.0,2.0,2.0,2.0,204000.0
동방,운수창고업,2011,585961449000.0,373.6,21.11,6.83,0.0283287866483953,0.605,2.5,3.0,2.5,2.5,569000.0
동방아그로,화학,2011,149857220000.0,32.57,75.43,0.0,0.1457762327747635,0.845,2.5,3.0,2.5,2.0,2295000.0
동부건설,건설업,2011,2570902478000.0,509.14,16.42,-1.07,0.179854160536868,0.45,2.5,4.0,2.5,2.5,0.0
동성제약,의약품,2011,124577132000.0,106.93,48.32,9.06,-0.0336979806736187,0.495,2.5,3.0,2.5,2.0,530000.0
동아지질,건설업,2011,202921027000.0,60.38,62.35,-22.15,-0.0391531690700038,1.21,2.5,3.0,2.5,2.5,1978000.0
동양,비금속광물,2011,3633466665000.0,927.33,9.73,50.57,-0.1361730369721722,2.205,2.5,3.0,2.5,2.0,0.0
동양고속,운수창고업,2011,290833249000.0,117.97,45.88,47.16,0.1377988100815969,0.45,2.5,3.0,2.5,2.0,2960000.0
동양철관,철강금속,2011,200430666000.0,89.04,52.9,6.38,-0.0023141453725311,1.66,2.5,2.0,2.5,2.5,0.0
동원산업,"농업, 임업 및 어업",2011,1306812956000.0,163.04,38.02,2.22,0.0611613503819075,1.26,2.5,2.0,2.5,2.0,10090000.0
동원수산,"농업, 임업 및 어업",2011,107105523000.0,140.16,41.64,0.0,0.0283696747796157,1.58,2.0,2.0,2.0,2.0,1532000.0
동원시스템즈,전기전자,2011,450948473000.0,397.73,20.09,8.48,-0.0143244353670924,1.75,2.0,2.0,2.0,2.5,0.0
동일산업,철강금속,2011,371750736000.0,29.77,77.06,5.59,0.0834099668138129,0.59,2.0,3.0,2.0,2.5,3542000.0
동화약품,의약품,2011,339431477000.0,47.82,67.65,8.96,0.1971505699985505,0.655,2.5,4.0,2.5,2.5,2793000.0
두산,서비스업,2011,6296220754000.0,80.46,55.41,7.48,0.155369541722277,2.22,5.0,6.0,5.0,5.0,54471000.0
디씨엠,철강금속,2011,168125000000.0,21.22,82.5,13.44,0.0679950357733155,1.25,2.5,3.0,2.5,2.0,6054000.0
디아이,의료정밀,2011,188261131000.0,73.08,57.78,-2.57,-0.0819478602832335,0.54,2.5,3.0,2.5,2.5,0.0
디아이씨,운수장비,2011,528402290000.0,218.79,31.37,21.49,0.0157292022761202,1.325,2.5,3.0,2.5,2.5,1085000.0
롯데관광개발,서비스업,2011,224758209000.0,149.81,40.03,36.42,0.0447432600674559,2.4850000000000003,2.5,3.0,2.5,2.5,0.0
롯데손해보험,보험,2011,2955899685000.0,1365.61,6.82,0.89,0.2087462635472543,1.625,2.5,3.0,2.5,2.0,0.0
롯데쇼핑,유통업,2011,33061119644000.0,125.23,44.4,17.01,0.0573714856588732,0.97,5.0,4.0,5.0,5.0,43565000.0
마니커,음식료품,2011,281438687000.0,218.64,31.38,7.3,0.0275843963793621,0.69,2.5,2.0,2.5,2.0,0.0
명문제약,의약품,2011,202503823000.0,143.59,41.05,13.05,-0.0123085475360529,0.83,2.5,4.0,2.5,2.0,807000.0
모나리자,종이목재,2011,59334257000.0,45.41,68.77,3.72,0.0768938744043762,2.04,2.5,2.0,2.5,2.0,1352000.0
모나미,유통업,2011,212142757000.0,232.44,30.08,0.15,0.0238299169687408,0.75,2.5,3.0,2.5,2.5,689000.0
모토닉,운수장비,2011,423199251000.0,19.63,83.59,-13.15,-0.0135739992176294,0.93,2.0,3.0,2.0,2.5,5654000.0
무림페이퍼,종이목재,2011,2257628667000.0,245.43,28.95,14.95,-0.2462657604531915,0.7000000000000001,2.5,3.0,2.5,2.5,8322000.0
문배철강,철강금속,2011,129650251000.0,59.17,62.82,17.96,-0.0274592570654933,0.58,2.0,3.0,2.0,2.0,970000.0
미래산업,의료정밀,2011,126114458000.0,148.6,40.23,0.0,-0.0159943201073621,3.495,2.5,4.0,2.5,2.5,0.0
미원상사,화학,2011,148263212000.0,77.29,56.4,21.93,0.0701273452370162,1.18,2.5,3.0,2.5,2.5,511000.0
백광산업,화학,2011,422390740000.0,106.47,48.43,8.03,0.0719399499627667,0.64,2.0,3.0,2.0,2.5,1371000.0
백산,화학,2011,153278162000.0,83.86,54.39,17.95,0.0842043161223495,1.255,2.5,2.0,2.5,2.5,1888000.0
범양건영,건설업,2011,297418155000.0,12807.68,0.77,-52.77,-0.1128387708750835,2.635,2.0,2.0,2.0,2.5,0.0
보락,화학,2011,46455549000.0,26.03,79.35,9.0,0.0310273371048779,0.8700000000000001,2.5,3.0,2.5,2.5,0.0
보해양조,음식료품,2011,244226095000.0,375.72,21.02,0.45,0.1572811754543077,10.365,2.0,3.0,2.0,2.0,0.0
부광약품,의약품,2011,251539303000.0,26.55,79.02,5.74,0.1864206100065883,2.39,2.5,4.0,2.5,2.0,12994000.0
부국증권,증권,2011,652854503000.0,72.37,58.01,44.74,0.6324608317818999,0.705,2.5,3.0,2.5,2.0,10370000.0
부국철강,철강금속,2011,144303661000.0,43.83,69.52,-5.82,-0.0307064920660476,0.49,2.0,3.0,2.0,2.0,1500000.0
부산산업,비금속광물,2011,108216597000.0,165.8,37.62,16.7,0.2045458997458997,0.5800000000000001,2.0,2.0,2.0,2.0,0.0
부산주공,운수장비,2011,214468630000.0,368.37,21.35,14.24,0.0459466213268604,0.73,2.5,3.0,2.5,2.5,829000.0
비상교육,서비스업,2011,179673049000.0,44.64,69.14,18.75,0.0617684535252827,0.935,2.5,3.0,2.5,2.0,2502000.0
빙그레,음식료품,2011,493949047000.0,24.41,80.38,0.0,0.0187825414843041,1.47,4.0,3.0,4.0,2.0,10610000.0
사조대림,음식료품,2011,358454161000.0,138.05,42.01,35.76,-0.0985093925150619,0.945,2.5,3.0,2.5,2.0,1925000.0
사조산업,"농업, 임업 및 어업",2011,1138408934000.0,234.89,29.86,21.09,-0.1073018403242383,1.435,2.5,3.0,2.5,2.0,989000.0
사조오양,"농업, 임업 및 어업",2011,172615973000.0,153.95,39.38,8.62,0.0770156492357434,1.15,2.0,3.0,2.0,2.0,0.0
삼성SDI,전기전자,2011,8527410755000.0,35.04,74.05,6.24,0.0660355018348621,1.39,6.0,3.0,6.0,6.0,67334000.0
삼성공조,운수장비,2011,259963771000.0,59.22,62.81,41.18,0.0858759160957331,0.38,2.0,3.0,2.0,2.5,521000.0
삼성엔지니어링,서비스업,2011,5188614818000.0,295.07,25.31,75.03,0.0215612529195616,7.755,4.0,4.0,4.0,2.5,110872000.0
삼성전기,전기전자,2011,7328861760000.0,89.09,52.88,-13.45,0.120334895741834,2.42,6.0,4.0,6.0,6.0,58244000.0
삼성전자,전기전자,2011,155631254000000.0,52.81,65.44,6.71,0.1896926347746209,1.735,5.0,5.0,5.0,6.0,752195000.0
삼성제약,의약품,2011,87524733000.0,161.71,38.21,12.32,-0.0373765285056376,0.8500000000000001,2.5,3.0,2.5,2.0,0.0
삼성중공업,운수장비,2011,16413939003000.0,253.44,28.29,1.87,0.1077779564057969,1.905,2.5,3.0,2.5,4.0,108366000.0
삼성증권,증권,2011,15675659382000.0,449.69,18.19,-0.7,0.1565072683511626,1.945,5.0,5.0,5.0,4.0,80881000.0
삼성출판사,서비스업,2011,85801871000.0,21.46,82.33,0.61,0.1444252624858115,0.865,2.5,3.0,2.5,2.0,990000.0
삼성카드,기타금융,2011,16135253273000.0,163.16,38.0,-10.98,-0.3958822938077532,1.05,4.0,4.0,4.0,2.0,85724000.0
삼아알미늄,철강금속,2011,185399645000.0,70.94,58.5,2.66,-0.0302400053136307,2.25,2.0,3.0,2.0,2.5,1100000.0
삼양식품,음식료품,2011,321774390000.0,104.3,48.95,9.58,0.0786728120918081,1.855,2.5,3.0,2.5,2.0,1130000.0
삼양통상,기타제조업,2011,249832139000.0,20.15,83.23,0.0,0.0290855976294879,0.3249999999999999,2.0,3.0,2.0,2.5,2250000.0
삼영무역,유통업,2011,240268361000.0,28.06,78.09,0.0,0.0108653168887028,0.59,2.5,3.0,2.5,2.0,1011000.0
삼익악기,기타제조업,2011,351805364000.0,143.33,41.1,0.27,0.0014166161309884,0.89,2.5,3.0,2.5,2.0,2116000.0
삼일제약,의약품,2011,121203013000.0,81.98,54.95,-4.05,-0.0489776428225936,0.44,2.5,3.0,2.5,2.0,782000.0
삼정펄프,종이목재,2011,161284262000.0,27.57,78.39,15.67,0.1107704197088083,0.52,2.5,3.0,2.5,2.0,1920000.0
삼진제약,의약품,2011,208103870000.0,73.59,57.61,0.67,0.0628001744681694,1.1,2.5,4.0,2.5,2.0,2863000.0
삼천리,전기가스업,2011,2445760692000.0,114.15,46.7,12.77,0.0302122297817518,0.36,2.5,4.0,2.5,2.5,10690000.0
삼호개발,건설업,2011,197762038000.0,76.69,56.6,0.0,0.0258014963708643,0.55,2.5,3.0,2.5,2.0,1663000.0
삼화왕관,기계,2011,122671950000.0,25.32,79.8,10.24,0.1110295870303428,0.485,2.5,3.0,2.5,2.5,2046000.0
삼화전기,전기전자,2011,145593871000.0,270.74,26.97,-8.79,0.0257108400139421,1.275,2.5,2.0,2.5,2.5,331000.0
상신브레이크,운수장비,2011,220883454000.0,169.45,37.11,19.31,0.1052046995173665,1.465,2.5,3.0,2.5,2.5,2365000.0
새론오토모티브,운수장비,2011,181333153000.0,38.29,72.31,18.43,0.1691306452417785,0.7949999999999999,2.0,2.0,2.0,2.5,3593000.0
서원,철강금속,2011,388794060000.0,174.98,36.37,15.31,-0.0444529890521463,1.075,2.5,3.0,2.5,2.5,979000.0
선도전기,전기전자,2011,101053375000.0,37.89,72.52,0.0,0.0356960675821007,0.625,2.5,3.0,2.5,2.5,447000.0
성문전자,전기전자,2011,55202224000.0,48.93,67.15,10.33,0.0326086726004948,1.205,2.5,2.0,2.5,2.5,371000.0
성보화학,화학,2011,100586249000.0,16.98,85.48,16.98,0.0824742858529718,0.5549999999999999,2.0,3.0,2.0,2.0,1201000.0
성신양회,비금속광물,2011,1151105428000.0,243.18,29.14,-6.9,-0.0151132792950788,0.23,2.5,4.0,2.5,2.5,0.0
성안,섬유의복,2011,307479899000.0,208.84,32.38,12.63,0.2776202939423121,0.625,2.5,2.0,2.5,2.0,0.0
성창기업지주,서비스업,2011,307997635000.0,137.15,42.17,8.1,0.8796710042640788,0.945,2.5,2.0,2.5,2.5,2888000.0
세기상사,서비스업,2011,52280158000.0,68.76,59.25,-6.18,-0.076520152595787,0.48,2.0,3.0,2.0,2.0,0.0
세방,운수창고업,2011,908627879000.0,55.72,64.22,10.62,0.0951063423449323,0.755,2.5,3.0,2.5,2.5,4052000.0
세방전지,전기전자,2011,712634498000.0,45.31,68.82,20.71,0.0869742156180284,1.19,2.5,3.0,2.5,2.5,4900000.0
세아홀딩스,서비스업,2011,3845130468000.0,78.62,55.98,28.13,6.673549306345236,0.665,2.5,3.0,2.5,2.0,6998000.0
세우글로벌,유통업,2011,31195672000.0,11.84,89.42,0.0,0.1508582767555512,0.49,2.0,3.0,2.0,2.0,0.0
세종공업,운수장비,2011,637756161000.0,131.95,43.11,20.14,-0.0009852813555441,1.525,2.5,3.0,2.5,2.5,4479000.0
세하,종이목재,2011,190494276000.0,457.02,17.95,7.57,-0.0135077671869669,2.58,2.5,3.0,2.5,2.5,0.0
송원산업,화학,2011,870166000000.0,216.4,31.61,12.92,0.0330129943162418,1.395,2.5,3.0,2.5,2.5,1440000.0
수산중공업,기계,2011,117248095000.0,66.17,60.18,15.64,0.0907011907302291,1.275,2.5,2.0,2.5,2.5,1261000.0
신대양제지,종이목재,2011,421658812000.0,87.01,53.47,15.67,0.0803258794051609,0.275,2.5,2.0,2.5,2.5,1795000.0
신도리코,전기전자,2011,980932781000.0,16.96,85.5,4.63,0.1278139804557169,0.6599999999999999,2.5,2.0,2.5,2.5,27039000.0
신라교역,"농업, 임업 및 어업",2011,435062940000.0,26.59,79.0,7.95,0.0315763563357923,0.7050000000000001,2.0,3.0,2.0,2.0,3156000.0
신성이엔지,기계,2011,415221081000.0,173.86,36.51,-15.88,-0.1926346495486376,1.695,2.5,2.0,2.5,2.0,0.0
신세계,유통업,2011,4144705507000.0,90.15,52.59,16.99,-0.0418003199979869,2.255,2.5,5.0,2.5,2.5,7377000.0
신세계건설,건설업,2011,491318941000.0,202.03,33.11,18.25,-0.0304562882717466,0.355,2.5,3.0,2.5,2.5,1146000.0
신영와코루,섬유의복,2011,280438245000.0,12.42,88.95,0.87,0.0613900552428437,0.38,2.5,2.0,2.5,2.0,1350000.0
신원,섬유의복,2011,411181825000.0,111.99,47.17,6.81,-0.0449558365788295,0.4549999999999999,2.5,3.0,2.5,2.0,0.0
신풍제약,의약품,2011,378499607000.0,110.44,47.52,-0.53,0.1277221883822777,5.87,2.5,3.0,2.5,2.5,2917000.0
신흥,유통업,2011,142045998000.0,82.53,54.79,0.0,4.2854518627375454e-05,1.195,2.5,4.0,2.5,2.0,577000.0
쌍방울,섬유의복,2011,125765852000.0,70.71,58.58,12.94,0.0529069671613619,1.47,2.5,2.0,2.5,2.0,0.0
써니전자,전기전자,2011,39869427000.0,103.13,49.23,-32.94,-0.1463095790520384,0.55,2.5,2.0,2.5,2.5,0.0
아남전자,전기전자,2011,133659153000.0,93.4,51.71,8.3,-0.0998830844480676,0.4649999999999999,2.0,3.0,2.0,2.5,0.0
아모레퍼시픽,화학,2011,2815427568000.0,31.67,75.95,12.43,0.175727160944394,3.875,5.0,5.0,5.0,5.0,44888000.0
아세아제지,종이목재,2011,458140729000.0,107.68,48.15,15.1,0.0809834707272249,0.285,2.5,2.0,2.5,2.5,1752000.0
아시아나항공,운수창고업,2011,5747431446000.0,567.31,14.99,6.14,0.1202405068989831,2.17,4.0,3.0,4.0,5.0,0.0
아이에스동서,비금속광물,2011,973623949000.0,145.65,40.71,23.38,-0.0902923418606564,1.315,2.5,2.0,2.5,2.5,5136000.0
에넥스,기타제조업,2011,119599167000.0,163.8,37.91,12.3,-0.0014212170694535,0.4649999999999999,2.5,3.0,2.5,2.0,0.0
에스엘,운수장비,2011,1025741167000.0,100.98,49.75,-1.83,0.1045630342917049,1.315,2.5,3.0,2.5,2.5,6773000.0
에스원,서비스업,2011,1057718910000.0,38.98,71.95,14.27,0.2179260274891963,3.115,4.0,4.0,4.0,2.0,42173000.0
에쓰씨엔지니어링,서비스업,2011,405239276000.0,223.22,30.94,8.27,0.0037131585222972,0.5,2.5,2.0,2.5,2.0,1018000.0
에이엔피,전기전자,2011,255683632000.0,297.94,25.13,23.98,0.1210580134655301,0.665,2.0,2.0,2.0,2.5,0.0
엔씨소프트,서비스업,2011,1113431660000.0,28.21,78.0,-7.7,0.277011044090392,6.765000000000001,2.5,4.0,2.5,2.0,11891000.0
엔케이,기계,2011,440135252000.0,175.06,36.36,4.57,-0.0404013055968405,1.94,2.5,2.0,2.5,2.5,1551000.0
영보화학,화학,2011,139042571000.0,60.82,62.18,0.0,0.1132118332281706,0.775,2.5,2.0,2.5,2.5,975000.0
영원무역,유통업,2011,844587128000.0,46.41,68.3,22.76,0.1417151461314206,1.84,2.0,3.0,2.0,2.0,8162000.0
영원무역홀딩스,서비스업,2011,1268634513000.0,46.68,68.18,20.82,4.340046712536545,2.035,2.0,3.0,2.0,2.0,5398000.0
영진약품,의약품,2011,157786910000.0,75.55,56.96,-3.62,0.0757946032737166,2.915,2.5,3.0,2.5,2.5,0.0
영풍,철강금속,2011,2622323750000.0,36.72,73.14,16.78,0.07508264267497,1.29,2.0,2.0,2.0,2.5,15051000.0
영풍제지,종이목재,2011,110562222000.0,18.01,84.74,8.57,0.028115906064641,0.3299999999999999,2.0,2.0,2.0,2.5,462000.0
영화금속,운수장비,2011,113212455000.0,208.92,32.37,16.51,0.070561683669371,0.615,2.0,2.0,2.0,2.0,935000.0
오뚜기,음식료품,2011,989034007000.0,66.74,59.97,14.78,0.0604585334258616,1.01,2.5,2.0,2.5,2.0,8442000.0
우신시스템,기계,2011,153971295000.0,111.59,47.26,33.25,0.0261921038056808,0.765,2.0,2.0,2.0,2.0,1328000.0
웅진씽크빅,서비스업,2011,635862354000.0,116.55,46.18,0.3,0.0443919356605682,3.3200000000000003,4.0,4.0,4.0,4.0,10588000.0
원림,섬유의복,2011,96052278000.0,53.32,65.22,-0.43,0.0027712897168734,0.38,2.0,2.0,2.0,2.0,588000.0
윌비스,유통업,2011,258346763000.0,92.98,51.82,-4.98,0.0423108840271586,0.88,2.5,3.0,2.5,2.0,0.0
